Remove_noise,nilai,sentimen
cuma suka males saja kalau beli obat terus toko begitu dan ongkirnya double jadinya selebihnya oke,-7,negatif
seneng banget ada halodoc karena membantu sekali untuk saya terima kasih semua tim dari halodoc,1,netral
dokter dokternya koperatif,0,netral
ini terintegrasi keluhan pasien waktu tengah malam klik dokter resep langsung klik toko obat dan pengiriman kealamat hanya ada yang tertunda pengiriman sebagian obatnya tungu besok pagi,-15,negatif
apa ini sangat membantu sya dikala pagi hari urgent untuk chat konsultasi sama dokter,14,positif
terbaik dari yang terbaik,2,netral
sangat membantu sat butuh konsultasi segera,8,positif
sangat mengecewakan pesan obat lewat aplikasi halodoc obat belum tidak terkirim pembayaran sudah terkonfirmasi berhasil totalnyatidak seberapa tapi sangat dibutuhkan tidak bisa cek pesanan karena telepon driver tidak dapat dihubungi email eror harap segera ditindaklanjuti,-15,negatif
sangat tidak bagus belum melakukan konsultasi bahkan sudah selesai aneh ini apk tidak paham sama sistem mana customer service tidak ramah lagi,3,netral
aplikasi halodoc sangat membantu saya mempermudah saya dalam mencari membeli obat dengan mudah diantar gojek langsung sampai depan rumah terimakasih halodoc sukses selalu,13,positif
sangat rekomended,3,netral
halo nama saya nurul aplikasi bagus tapi tidak tahu cara pakai,-5,negatif
dicoba dulu saran dari dokternya,1,netral
suka pakai halodoc membantu banget dokter juga baik merespon keluhan kita obat juga langsung sampai tapi ongkos kirim lumayan agak mahal,17,positif
sangat membantu sat bingung anak sakit,-1,netral
dokter cepat respon kalau obat mngkin ditmpat saya tdak ada apotek,2,netral
tidak semua alamat bisa dijangkau,-8,negatif
aplikasi yang membantu dapat konsultasi sambil rebahan dirumah,0,netral
pengiriman amanah kurir ramah,5,positif
check out obat bayar pakai virtual acount bca jeda menit doank transaksi expired uang hilang tidak bisa refund apa ini,-9,negatif
pesen obat bukan cepat datang bahkan pembayaran belum berhasil di rifund nungu kurang lebih hari terlanjur sembuh duluan tidak membantu,0,netral
aplikasi yang sangat mbantu kebutuhan kesehatan,-2,netral
bagus jadi tahu gejala apa yang kita alami supaya cepat ditindaklanjuti,-4,negatif
puas dengan pelayanan cepat sampainya,9,positif
kacau banget aplikasi main hapus ulasan saya vertigo parah nungu obat saja dibuat repot minta ampun telepon keulang ulang yang disalahkan dokter padahal dokter masih saya chat sat telpon nama csnya elie dan elsa bertele tele semua percuma telepon csnya terlanjur meningal kalian berobat disini sudah hubungin cuma tungu sampai ngabis ngabisin pulsa kamu telepon saja kesini user hendro alif telepon kali,-25,negatif
terima kasih banyak sangat membantu sekali,13,positif
awalnya bagus dan lancar dan sangat recomended tapi sekarang ganguan terus tidak bisa terhubung asuransi pemilihan apotik yang obatnya tidak lengkap jelek banget aplikasinya mohon perbaikan buat menarik user,2,netral
membantu banget asli apalagi tugas diluar daerah,6,positif
jelek bangat konsultasi sudah bayar bahkan tidak bisa chat sgala macam menghilang,-3,negatif
mantap saya cocok sama layananya,9,positif
dokternya baik dan ramah memberikan penjelasanya jelas dan mudah dimengerti,13,positif
sangat membantu apalagi kalau hari libur tidak ada dari yang praktek,0,netral
dokter umumnya lebih tidak perduli tolong,3,netral
penanganan yang cepat dari para dokter spesialis di halodoc teope,2,netral
masa sesi konsultasi belum selesai sudah otomatis selesai tadi saya lagi sesi konsultasi gizi klinik rencana request sesi telepon sama dokter biar jelas dokterny juga ternyata ada pasien lain jadi ceritanya bisa terima pasien lain selagi sesi konsul sama kita jadinya lama kali respon terlanjur habis sesi konsultasi menit rugi buang uang lebih baik ketemu dokter langsung kalau bisa dokternya dilarang terima pasien lain sat sesi konsultasi jadi lebih fokus,25,positif
nyesel ngecek di halodoc ternyata harga cek antigen beda jauh dari aktual di rumah sakit aktual di rumah sakit jauh lebih murah hasil belum keluar di aplikasi,-15,negatif
aplikasinya bagus meskipun dokternya tidsk bisa memberikan diagnosis dan pemeriksan secara langsung tapi masukanya cukup memberikan informasi yang akurat,-5,negatif
sangat membantu berkonsultasi dengan xepat,7,positif
pesan obat sudah hari tidak ada berita status di dalam proses dan terkonfirmasi tetapi setelah hbungi sudah batalkan dan dan tidak kembali sangat mengecewakan kalau ada bintang minus saya kasih minus,-5,negatif
sangat membantu sekali untuk konsultasi mendesak di liburpun dengan biaya murah terima kasih,12,positif
aplikasi sangat membantu disat urgent,3,netral
solusi bagi yang sibuk untuk berkonsultasi dengan dokter ahli,4,positif
bertanya saja harus bayar payah,-5,negatif
sangat membantu pengiriman obat cepat sekali,1,netral
seperti tidak makin tidak guna banget ini aplikasi mencari obat dapetnya apotik jauh banget mana lama banget tidak ada kejelasan tidak bisa komunikasi sama petugas apotik sudah pakai artis tapi bahkan makin tidak guna banget ini aplikasi hapus saja di play store,-32,negatif
cukup membantu ketika cuaca lagi buruk tetapi harga belum terjangkau untuk kalangan menengah ke bawah,-6,negatif
aplikasi kesehatan paling bagus beli obat cepat sampai konsultasi dengan dokter tidak perlu menungu lama,-2,netral
cukup membantu untuk berkonsultasi online dizaman serba online semoga kita diberikan kesehatan salam sehat,5,positif
aplikasinya membantu banget cukup konsultasi dapat resep pesan tapi ada saran ini alangkah baiknya ketika dilakukan pemesanan resep obat kesalah satu apotek bagusnya ada sistem konfirmasi dulu ke apoteknya apakah obat yang di pesan ada atau tidak disana soalnya permaslahan yang saya alami ketika dapat beberapa resep obat dari dokternya dan ketika dipesankan ke apotek cuma sebagian obat yang ada sisanya tidak ada jadi bingung kalau begitu semoga ada pengembangan lagi perihal itu,3,netral
sangat membantu sekalu pokoknya,4,positif
puas simpel dan mudah sangat terbantu jika malas keluar kedokter,6,positif
dokternya cepat responya,3,netral
dokternya ramah tamah aplikasi mudah digunakan,5,positif
aplikasi konsultasi terbaik,4,positif
sangat amat membantu sekali disat suasana tidak bisa keluar ke rumah sakit,4,positif
untuk sat ini bagus alhamdulilah dipermudah bisa tanya tanya masalah kesehatan,5,positif
memudahkan bangat,3,netral
apan dokter tidak respon setelah bayar dan proses refund sangat lama bagaimana kalau keadan gawat,-8,negatif
alhamdulilah saya suka dengan aplikasi ini sangat membantu saya ketika tidak bisa keluar rumah dan mendapatkan obat secara online juga konsultasi dengan dokter spesialis sangat bagus sekali bisa memilih dokter sesuai dengan budget atau pengalaman dokter yang dinginkan terus membuat kemajuan yang berarti tim halodoc bintang,-1,netral
bagus dokternya ramah harga murah,13,positif
sangat membantu disat semua klinik tutup karena lebaran,-1,netral
keren halodoc segini masih ada dokter ynag merespon dengan cepat dari hadika penyakit dalam salah satunya,2,netral
kirain penguna baru bisa gratis dulu sekali mengecewakan padahal mendadak blog,0,netral
membantu terimakasih mudahan bermanfat bagi ekonomi menengah kebawah suapaya terjangkau,12,positif
aplikasi yang sangat memberi kepuasan,-1,netral
sangat mudah dan membantu terima kasih,15,positif
tidak perlu repot ke rumah sakit cukup di rumah saja,-15,negatif
karena dari lisa saya kasih terimakasih ramah past respon jelas lugas aku padamu,12,positif
dokternya sabar mendengar keluhan saya,-1,netral
puas banger respone dokter cepat dan baik banget memberikan kesempatan untuk bertanya sampai jelas dan paham,15,positif
apk yang membantu di sat emergency,-1,netral
nungu dokternya lama dan tidak pernah muncul setiap kali coba apa ini,-10,negatif
pelayanan cepat detail obat yang diberikan sangat baik,6,positif
mantap pelayanan kesehatan dan solusinya cepat tangapan,14,positif
sangat baik nyaman untuk berkonsultasi hanya dirumah saja,4,positif
bagus pelayanan mantap dokternya juga ramah ramah kurirnya cepat,23,positif
dokternya ramah gercep,5,positif
waktu untuk konsultasinya terlalu singkat kalau bisa agak lama sedikit tapi untuk saya yang baru mengunakan sangat membantu terimakasih,-11,negatif
agak lama respon jika melayani lebih dari satu sampai dari mengahiri apalagi jaringanya jelek,-4,negatif
chat dengan dokternya bagus cuma sayang untuk order obat nga bisa segera menurut saya harus segera diperbaiki layanan untuk nebus resep obatnya,10,positif
tidak bisa mnghubungi dokternya karena tidak diangkat dibalas kita tidak bisa langsung cari dokter lain harus bayar lagi tengan pengembalian dana yang lama bahkan di kemblikan ke dompet halodoc bukan ke gopay big nomor untuk pakai layanan ini,-32,negatif
amat sangat membantu untuk keluarga,15,positif
sangat membantu dikala butuh banget obat konsultasi permintan resep juga mudah pokoknya,7,positif
pengiriman cepat barang ori,-2,netral
tolong kalau biaya kirim pakai gosend yang jelas itu sudah sama ongkos parkir atau belum sebab saya ngerasa biasanya saya tidak ada dipalak uang parkir bukan masalah nominalnya tapi ini karena pesan urgent untuk obat sakit dan cashles pakai gopay biar cepat bisa diminum obatnya jadiny harus masuk lagi ambil uang dulu biasanya tidak pernah dipalak uang parkir setau dan sepengalaman saya kalau parkir ojol selalu dapat prioritas,-33,negatif
membamtu sekali disat urgen,-5,negatif
berobat mengunakan aplikasi ini pertama di waktu idul fitri pada respon dokter baik saya terkendala dengan proses pengiriman dengan status di system belum menemukan driver tetapi gopay saya sudah terdebit kedepanya mohon di evaluasi mengenai tampilan di aplikasi mengenangi status pengiriman agar konsumen mudah merubah pesananya terima kasih,-8,negatif
konsul dari dokter membantu tapi chat harus cepat padahal tadi masih ada yang ingin ditanyakan lagi,-2,netral
god penting disat genting,3,netral
aplikasinya sangat membantu banget disat dokter lagi pada cuti bisa jadi bisa diandalkan dokternya juga sigap cepat responya,13,positif
dicek dulu ketersedian apotik jangan sampai bilang buka didatangi bilangnya tutup bagaimana uang kita hilang ratusan ribu,-4,negatif
halodoc sangat memudahkan keluarga saya cepat dan tepat sukses terus buat dokter yang bergabung aplikasi halodoc terima kasih dokter luar biasa,7,positif
bagus respon cepat langsung kasih solusi resep obat meskipun di chat malam malam alhamdulilah puji tuhan besok paginya sembuh karena minum obat anjuran dari dokter di halodoc,14,positif
awal pakai aplikasi ini padahal ada chat dengan dokter yang geratis tapi sekang sudah bayar semua,1,netral
kiriman obat melalui halodoc cepat dan mudah god halodoc,7,positif
sangat membantu malam perlu obat dapat membeli di toko obat halodoc pelayananya cepat tanpa harus keluar rumah terbaik,9,positif
bingung jadinya pakai halodoc saya konsul ke psikiater di kasih resep tapi di tolak terus sama apotek kenapa yah apa obat lumayan bahaya apa bagaimana jadi bingung terus apa guna konsul,-13,negatif
tidak membantu sama sekali padahal urgent dan kita sudah membayar tapi tidak bisa berkonsultasi sangat mengecewakan,-4,negatif
nungunya tidak lama mantap dari berbagai aplikasi konsul dokter ini yang paling nyaman tambahin pembayaran pakai ovo dong hehehe,-9,negatif
terimakasih sangat cepat dan mudah,15,positif
senang sekali bisa konsultasi online di halodoc mudah praktis dsn dokternya ramah sekali membalas pesan kami,25,positif
beli termometer saja dapat apotiknya juauh banget pada hal dilokasi terdekat dari rumah kita banyak apotik kenapa tidak diambilkan yang terdekat tapi dicarikan yang jauh sehinga driver banyak yang cancel orderan,-17,negatif
ini apk berguna banget untuk darurat minta resep obat dan konsultasi terimakasih halodoc,17,positif
sangat membantu sat dokter disekitar rumah tidak praktek tingal konsultasi lewat halodoc,10,positif
sangat bermanfat dimana saja dan kapan saja,-3,negatif
sangat membantu dan dari bagus ramah,11,positif
sangat membantu ketika butuh obat dalam waktu cepat responsif dan benar baik sukses selalu halodoc,13,positif
bagus mempermudah kita dalam berkonsultasi dengan dokter mengenai penyakit yang di alami tapi sayangnya resep yang diberikan belum sepenuhnya diterima oleh apotek di seluruh indonesia seperti di wilayah timur apoteker disana hanya menerima resep tertulis dan tidak menerima resep digital saya harap pihak halodoc dapat lebih memperkenalkan lagi mengenai aplikasi ini ke pihak pihak apotek apoteker yang ada di indonesia khususnya di wilayah timur indonesia terima kasih,-19,negatif
it realy helpful terutama bagi teman teman yang berkonsultasi online sebelum memberanikan diri konsultasi ofline halodoc bisa bantu kita untuk memulai,6,positif
hebat akurat ramah,5,positif
membantu karena dapat memesan obat,0,netral
alhamdulilah puas konsul dokter spesialis disini,10,positif
mudah dan gampang tidak perlu mengantri ke rumah sakit atau tempat praktek dokter lagi cukup lewat apa ini kita sudah bisa memdapatkan pelayanan terbaik,2,netral
bagus dokternya ramah ramah,12,positif
pelayanan yang cepat,1,netral
update yang makan waktu lama,-8,negatif
pesanan obatnya tidak sampai sudah beberapa sementara obatnya sangat dibutuhkan untuk anak saya,-7,negatif
agar lebih baik lagi,-2,netral
pertama kali pakai halodoc hari ini langsung kecewa bikin jadwal dokter di rumah sakit evasari sudah dikonfirm bahkan sebelumnya juga sudah di ingatkan untuk kita sebagai pasien agar datang lebih awal setengah ketika sampai rumah sakit ternyata dokternya tidak ada dan berhalangan hadir informasi terjadi pembatalan setelah saya sampai di rumah sakit dan ajukan komplain kami pakai aplikasi ini berarti kami memang butuh penanganan ataupun perobatan bukan sekedar iseng iseng,-16,negatif
aplikasi yang sangat bermanfat semoga kedepanya lebih berkembang lagi,-6,negatif
senang mengunakan aplikasi ini sangat mudah dan simple,11,positif
mantap sangat puas,11,positif
mantap pelayananya,5,positif
god aplikasi seneng bisa konsultasi kapan saja,1,netral
terima kasih halodoc dan dokter cory khathren sangat membantu sekali,10,positif
terima kasih dokter semoga dokter di indonesia sehat dan bahagia terus amin,17,positif
sudah berberapa kali buat janji temu dengan dokter tapi tidak dapat diproses,3,netral
bagus perlu ke klinik mudah gampang dokternya juga enak buat konsul,18,positif
penjelasan konsulnya detail terima kasih dokter,9,positif
sangat membantu untuk tidak panik karena bisa langsung tanya jawab dengan dokter yang ahli,-2,netral
coba chat sama dokter hewan sudah bayar biaya konsul tapi chat tidak terhubung terus saya keluar ingin coba chat dokter lain kirain msih bisa pakai biaya yang ketarik tadi bahkan harus bayar lagi konsul enga kepotong biaya hadeuh,-7,negatif
aplikasi bagus,-2,netral
periksa kesehatan tidak perlu ribet antri cukup sambil tiduran di rumah dan obat langsung datang,-20,negatif
dokternya respon dengan baik,5,positif
aplikasi sangat bermanfat dan membantu pasien,3,netral
kenapa saya kasih bintang karena baru pertama coba semoga selalu amanah halodoc sangat membantu sekali,11,positif
sangat jelek bayar buat konsul online tapi tidak dibales masalah belum kelar terlanjur habis waktunya,-5,negatif
ini sudah bagus tapi sayang banget pengambilan obat jauh dari tempat tingal tidak bisa buat dadakan terus kasian driver apotek padahal ada yang dekat daerah sini tapi dapat jauh banget,-12,negatif
sangat puas dengan halodoc bisa konsul dokter tanpa harus keluar rumah,1,netral
membantu sekali terima kasih banyak,10,positif
aplikasi yang sangat bagus,-4,negatif
saya sudah melakukan pembayaran tapi status masih belum berubah masih terkonfirmasi chat bantuanya juga eror melulu heran,0,netral
aplikasi yang sangat membantu mudah menemukan dokter dan konsultasi kesehatan,7,positif
ini bagaimana minta bantuan pembatalan chat hilang sendiri riwayat pesanan tiba hilang di beranda tolong dong tidak tahu situasi yang mesan obat lagi bagaimana jangan dibuat mengantung begini,-19,negatif
sangat membantu disat genting dan dekat sekali,7,positif
mantap pelayanan obat cepat respon,10,positif
bagus menangapi keluhan pasien,-1,netral
sangat sangat membantu dokternya ramah,15,positif
pelayanan chat dokternya cepat respon dan ramah ramah,21,positif
sangat membantu trimakasih,11,positif
saya batalin apoinment sama dokter saya transaksi mengunakan card buset itu dana tidak balik sampai hari konfirmasi suruh tungu lagi astaga,-2,netral
mudah dan bagus,6,positif
saran mungkin bisa ditambah walet lainya karena tidak semua orang mengunakan hanya walet yang tertera di aplikasinya,-18,negatif
recomend buat yang takut ketmu dokter langsung dokternya ramah sekali,4,positif
untuk chat dengan dokter gampang dan memuaskan saran untuk pembayaran dengan kartu kredit debit mohon untuk bisa paste nomor kartunya,16,positif
rekomendasi untuk pemesan obat obatan,-3,negatif
aku kira gratis setelah masuk dan chat denga dokter ternyata harus bayar padahal saya konsultasi sama dokternya untuk penyakit yang saya alami tapi tidak jadi karena harus bayar hadeh,-23,negatif
cepat dan aman obat yang diantar,-5,negatif
resep yang diberikan dokter obatnya tidak ada terkesan aplikasi berbicara sembarangan ke apotek yang tidak lengkap obatnya dan dokter hanya bisa sekali keluarin resep aplikasi not very god emergency oke,-25,negatif
ini bagaimana estimasi obat sampai hari ini sudah hari tidak sampai sudah tidak kuat banget nahan sakitnya,-7,negatif
dokter anthony surya wibawa konsultasi dengan pasien ok dan obat yang diberikan juga ok sampai ketemu lagi dokter terima kasih,7,positif
sangat memuaskan dokter sangat memberi respon yang baik,13,positif
mantap sekali mungkin beberapa fitur ada yang perlu ditingkatkan,4,positif
respon terlalu lama bikin kesel sudah bayar mahal tapi tidak bisa tangung jawab sama kerjan saya kecewa sekali,-8,negatif
apk yang sangat membantu kalau sakit kambuh tengah malam terimakasih ini sangat memudahkan,4,positif
makin lama makin parah pakai kupon diskon gede langsung sengaja dibatalin sampai ini orang sakit terlanjur masuk rumah sakit kecewa berat,-4,negatif
jawaban dan rekomendasi dokternya bagus,5,positif
aplikasi sangat berguna sekali,3,netral
cepat tepat akurat moga menambah ikhtiar lebih cepat amin,17,positif
saya ingin berikan saran kalau bisa untuk beli obat alat kesehatan tolong adain bisa bayar dan mengisi alamat bisa sendiri terus ongkirnya juga jangan kemahalan,-3,negatif
aplikasi ini sangat membantu saya terima kasih,4,positif
makin kesini makin ribet beli obat tidak kayak dulu ini harus pakai resep dokter terus ketika di konfirm bahkan pesen obatnya dibatalkan bukanya aplikasi harusnya mempermudah yah ini bahkan semakin sulit dan ribet,-20,negatif
layanan bagus juga cepat pesan obat datang,3,netral
puas dengan pelayanan driver cepat sampai dan obat bisa langsung gunakan di sat genting,11,positif
aplikasi ini cukup membantu,-5,negatif
berapa kali sudah saya sampaikan melalui mail ataupun telepon kalau memang tidak siap jualan sudah tutup setiap dapat orderan selalu tidak ada barang selalu di cancel tanpa konfirmasi,7,positif
dokter di halodoc masya alah baik baik dan sangat membantu,9,positif
mohon maf untuk pemberian rating pada aplikasi ini saya tidak puas dengan kejelasan terkait pengiriman obat yang dipesan melalui aplikasi ini range waktu pengiriman obat sangat sangat sangat lama tidak langsung membantu untuk masalah yang ditanyakan dan masih butuh perbaikan untuk kejelasan status obat yang dipesan semoga jadi pembelajaran untuk tim halodoc kedepanya,-44,negatif
so far sangat membantu untuk pertolongan pertama sebelum periksa ke rumah sakit terimakasih halodoc,9,positif
respon dokternya cepat daripada tatap muka lngsg msti nungu dokter datang dan datang seringnya terlambat hm,-2,netral
dokternya gajelas padahal saya sudah jelaskan secara rinci percuma saja bayar mahal,3,netral
diberikan solusi dan saran yang baik,3,netral
berkah buat halodoc lancar selalu,9,positif
sangat membantu tetapi pengiriman sangat lambat di tulis setengah sampai sudah lebih tidak sampai sangat lambat kalau lagi keadan darurat tidak bisa nungu lama,-2,netral
konsultasi ditangapi dengan cepat,6,positif
sangat bermanfat dan sangat membantu aplikasi halodoc ini terimakasih,11,positif
saya sangat puas dengan aplikasi ini bagus pelayananya dan dokter juga ramah sigap cocok buat pandemi sat ini,10,positif
penangananya cepat,3,netral
sangat membantu aplikasi yang luar biasa membantu,4,positif
bagus membantu sekali,5,positif
saya penguna setia halo doc tapi kali ini sunguh tidak puas dengan konsultasinya dokter hewanya terburu memberikan resep diminta tambahan obat bahkan suruh beli shope katanya tidak bisa merespkan lebih dari kali biasanya dokter lain selalu bertanya ada lagi yang ingin tanyakan kemudian merespkan ini buru sekali kemana ngomong-ngomong saya disuruh beli obat shope sedang apa ke halodoc kalau saya harus beli obat shope lama kecewa sumpah maaf yang tadiny bintang sekarg jadi bintang,-44,negatif
pesanan obat tidak sampai setelah berjam dilakukan pemesanan pembayaran status pesanan dalam proses namun tidak ada kejelasan terkait pesanan karena sudah terlalu lama ingin membatalkan pesanan bahkan tidak ada pilihan untuk batalkan pesanan sat coba menghubungi driver yang tercantum ditugaskan untuk pesanan saya driver justru mengatakan sedang tidak mengambil pesanan halodoc bukan seberapa uang yang dikeluarkan tapi pelayanan halodoc sunguh sangat amat mengecewakan sekali,-17,negatif
sudah bayar tapi dokter tidak jawab sampai habis masa waktu jadi hangus bayaranya,5,positif
sudah pakai aplikasi halodoc dan sangat membantu terima kasih halodoc,10,positif
puas dokternya ramah dan sangat membantu baik itu pelayananya dan beli obat melalui aplikasi,14,positif
aplikasi rusak tidak bisa discrol,-6,negatif
sangat membantu serpon dokternya sangat baik,13,positif
respon sangat baik dan menolong,12,positif
aplikasi busuk dokter tidk hadir tapi saya tidak bisa batalkan pesanan untuk pengembalian dana fitur batal di aplikasinya tidak bisa diklik,-21,negatif
keren banget obrolan dengan dokter yang kamu butuhkan di halodoc sangat cepat direspon terima kasih halodoc,2,netral
puas dengan layanan cepat mendapatkan obat,6,positif
sngat kecewa pertama asuransi di ac bisa di rawat di rumah sakit tba ada kendala bahkan di suruh bayar sendiri semua terus sedang apa di ac dari awal maka puluhan juta lagi,-7,negatif
sangat amat terbantu dengan aplikasi ini,3,netral
kemarin pesen obat lama benar statusnya terkonfirmasi terus tidak berubah smp lewat dari estimasi waktu padahal obatnya butuh cepat akhirnya pesanan dibatalkan pesen ulang begitu lagi hm padahal dulu enk bngt pakai halodoc pesen obat cepat,-16,negatif
ok banget sangat membantu,12,positif
disat membutuhkan obat tengah malam apotik yang berkerja sama tidak banyak jadi cancel mesen obatnya seharusnya mempermudah jadi tambah sulit,-4,negatif
dari ramah penjelasan mudah dipahami dan juga tidak arogan,4,positif
sudah bayar pakai gopay saldo ke potong bahkan tidak bisa chat dengan dokter responya eror loading mesages,-2,netral
tidak jelas dokter slow respon tapi chat di waktuin sesi konsul belum selesai tapi sudah di end percakapanya,7,positif
pesanan di cancel oleh pihak halodoc dan uang belum di kembalikan dan live chat saja tidak di bles oleh adminya halodoc kalau ada bintang sya akan nilai di sini orang beli obat karena butuh biyar cepat bahkan kaya begini di halodoc,-2,netral
beli obat tidak pakai ribet pesan kapanpun dimanapun jadi lebih praktis layanan konsultasinya juga sangat membantu top banget,14,positif
bagus sangat membantu bermanfat,9,positif
sangat membantu ketika di butuhkan,7,positif
sering eror pembayaran pakai gojek,-1,netral
dokter cukup sigap dalam penanganan konsultasi,6,positif
halo doc kenapa dalam pengambilan obat tidak di apotik yang terdekat kadang jauh sekali,-10,negatif
aplikasi kotoran makin lama makin ribet bali obat urgen saja harus resep konsultasi pada dokter tidak ada yang jawab orang pada terlanjur mati,-26,negatif
sangat terbantu karena kita cukup konsultasi chat dengan dokter spesialis yang menangani terima kasih,4,positif
aplikasinya sangat membantu sangat bermanfat bisa untuk konsultasi keluan penyakit tampa harus bertatap muka bahkan dari jarak yang sangat jauh,-2,netral
pelayanan bagus sat konsultasi dokternya cepat membalas dan memberikan solusi obat terimakasih,20,positif
aplikasi gercep fast respon sangat terbantu bagi saya yang lagi sibuk buat pergi sendiri nebus obat,-8,negatif
luar biasa membantu terimakasih banyak,14,positif
baik pelayanan ramah dan pastinya dengan dokter terbaik,16,positif
sangat membantu untuk anak kosan yang jauh dari lokasi dokter atau klinik serta cepat dalam proses penanganan diagnosa,2,netral
