userName,score,at,content
famous djava,5,2022-05-15 14:07:51,"Sangat membantu setiap saat, bahkan 24jam. Dokternya ramah2 dan selalu memberi solusi terbaik. sukses terus yaa"
Serly Cahyanurani G,5,2022-05-15 12:21:30,Terimakasih halodoc sangat membantu sekali
Alice Yohana Christy,5,2022-05-15 10:20:04,"Suka, melalui aplikasi ini saya sangat terbantu"
Ika Febri,5,2022-05-15 09:08:41,Sangat membantu sekali dan alhamdulillah cocok
Devi Dewayanti,5,2022-05-15 07:37:33,Sayang banget sama halodoc bintang 10 untuk halodoc ❤️❤️❤️❤️
ady 3396,5,2022-05-15 06:44:51,tidak perlu keluar rumah untuk konsultasi dengan dokter
Arif Yunan P.,5,2022-05-15 06:33:52,Sangat membantu
SUPRIADI ARIF,5,2022-05-15 06:02:37,Sangat membantu dan penjelasan sangat jelas dan akurat. Mengerti dan melayani keluhan pasien denga seksama. Pokoknya halodoc is the best dan sangat membantu kami. Moga lebih ditingkatkan pelayanannya dan dokternya diberi kesehatan selalu. Mohon responnya lebih cepat karena waktu konsultasi hanya 30 menit. Karena terkadang chat lambat direspon.
Verlyno Nyoto Handoko,5,2022-05-15 05:09:15,"Sangat membantu saya.. konsul dokter, resep/ obat tinggal dikirim.. sangat praktis dan bermanfaat..👍🏼👍🏼👍🏼"
Raul Nesta,1,2022-05-15 04:22:07,"mau lengkapi profil , sudah di isi tapi gabisa di simpan ? wkwk aneh banget"
deni kurniawan,5,2022-05-15 03:42:40,"Memuaskan,cepat responnya"
Rosa Andriyani,5,2022-05-15 01:37:26,tanggapan sangat cepat dan ramah dalam pelayanan
Alvarezza Putra Arilangga,5,2022-05-14 14:18:45,Sangat membantu.. saat membutuhkan dokter dan obat tidak harus keluar rumah. Keren
retno Sulistyorini,5,2022-05-14 14:00:28,Aplikasi ini sangat membantu
indah pramita,5,2022-05-14 11:47:55,"Lebih mudah dan praktis gak perlu jalan ke apotik, tinggal pesan langsung diantar kerumah"
Robby Agustinus,4,2022-05-14 10:34:53,Pelayanan yang bagus
beny Widyatmaja,5,2022-05-14 10:00:05,sangat membantu...jangan panic halodoc solusinya
Asep Ibrahim,4,2022-05-14 09:36:21,Respon dokter cepat. Tapi obat kadang tidak diklaim
Anjani Hapsari,5,2022-05-14 08:30:20,Sangat membantu..... makasih halodoc
Rina Detama,5,2022-05-14 04:08:34,Tinggal chat dr rumah..obat yg tdk ada sudah terkonfirmasi.. jd cari di apotek lain bisa..
tonny Widya Patrianto,5,2022-05-14 03:57:36,"Top deh, sangat membantu"
baiq eka,5,2022-05-14 03:29:32,Sangat membantu semoga bisa bermanfaat bagi orang banyak
Inggrid Novia,5,2022-05-14 03:21:32,Sangat membantu
Meina Tia,5,2022-05-13 16:17:16,Sangat membantu
muhammad hamrizaln,5,2022-05-13 15:57:54,Sangat membantu 🤗👍👍👌
HERNA WATY,5,2022-05-13 12:16:38,Sangat Baik tidak perlu antri lama
Nunik Saraswati,5,2022-05-13 11:50:18,"Membantu sekali, tapi sayangnya belum selesai bertanya chatnya keburu end"
rahma Syahraini,5,2022-05-13 04:04:45,Membantu sekali
Palupi Hasnah,1,2022-05-13 03:15:13,Dapat dokter spesialis yang 12 menitan baru dibales. Dan g nyampaikan di awal jika sedang sibuk atau ada pasien lain.. Sebelumnya dapat dokter yg awalnya agak slowresp tapi beliau menjelaskan kenapa.
Nova Meray,5,2022-05-13 02:51:23,"Penjelasan dan konsultasi sangat baik, dktr mengerti permasalahan penyakitnya"
Candra Retno Wulan,5,2022-05-13 01:14:53,Pengalaman pertama dan puas
Alvin Ardiansyah,5,2022-05-12 20:22:03,"tengah malem asma gw kambuh obat udah habis, apotek juga banyak yang tutup, gw coba pesen lewat halodoc. gak sampe ½jam udah nyampe, mantap emang"
Dita Hakim,5,2022-05-12 18:38:57,Respon cepat dan sangat membantu
Qyna Noor,5,2022-05-12 14:20:52,Keren applikasinya. Sukses selalu ya
Suryanto Akien,5,2022-05-12 13:55:14,Puas sama jawaban dokter nya.
Bayu bay bay,1,2022-05-12 13:46:56,Udah order chat dokter.. udah bayar.. saldo pun udah kepotong tapi pas dichat dokter nya nggak respon.. kecewa banget sumpah
Rosy Tasaniyah,4,2022-05-12 07:24:57,"Harga yg tertera kalo bisa yg terupdate biar tidak pake nambah lagi tunai ke kurirnya,krn ada perbedaan harga antara di aplokasi sama realita"
Mery Kurniawan,1,2022-05-12 06:37:55,Anak saya direkomendasikan buat PCR sudah buat janji..tapi tidak ada bukti janji..cuma diminta telp ke penyedia test...aplikasi kurang bagus👎👎👎
Ary Juwono,5,2022-05-12 06:11:02,Kerenn aplikasinya
DODY SETYAWAN,5,2022-05-12 05:42:39,Sangat membantu sekali 👍🏻👍🏻👍🏻
Agatha Astri,5,2022-05-12 05:37:43,"Aplikasi yang bagus, sangat membantu"
Estina Nainggolan,5,2022-05-12 02:12:03,Membantuu untuk masyarakat
Go Traffic,5,2022-05-11 16:40:01,Alhamdu lillaaH. Bermanfaat dan sangat membantu
rizki gunawan,5,2022-05-11 16:36:44,Sangat membantu saat kondisi urgent pengiriman obat sangat cepat
Kyla ila,5,2022-05-11 16:01:40,"Simpel dan mudah digunakan, bagus deh pokoknya"
kiki alifah95,5,2022-05-11 13:50:02,Keren sekali sangat membantu terimkasih
SCDZ _oyy,1,2022-05-11 12:59:15,"konsultasi chat nya pake waktu, udah bayar ga dapet resep obat malah di akhiri sesi nya tolong waktu nya agak di panjangin"
donny 1234,1,2022-05-11 12:03:12,Gak bisa COD kenapa
Bisnis Campuran,5,2022-05-11 11:37:04,Sangat membantu
Chintya Chintya,5,2022-05-11 11:22:20,Sangat amat membantu untuk orang2 yang butuh dokter tapi tidak mempunyai waktu untuk langsung ke dokter
agus husen,5,2022-05-11 07:31:35,"terimakasih Halodoc dan Team dokter, pelayanan cepat"
pasca andhika,5,2022-05-11 06:37:24,aplikasi yg sangat membantu sekali d saat membutuhkan obat2an dan konsultasi dokter. terimakasih hallodoc
Yani Purwani,5,2022-05-11 05:53:26,"Permudah aku kalau sakit gk perlu ke rumah sakit, the best 🔥"
Meisumi wulandini,5,2022-05-11 02:57:14,Sangat membantu...dokternya informatif
Wawan Andinata,5,2022-05-11 02:42:34,Sangat membantu memudahkan dalam konsultasi dan obat tidak antri yabg memakan waktu lama
gema buana,5,2022-05-11 02:39:10,berguna di saat darurat. pesan obat cepat sampai
Tita Nissa,4,2022-05-11 02:28:43,Cuma suka males aja kalau beli obat trus 2 toko gitu dan ongkirnya double jadinya.. Selebihnya oke
pardianto lim,5,2022-05-11 02:20:04,"Mantap, sangat membantu."
star moon,5,2022-05-11 01:45:32,Seneng banget ada halodoc karna membantu sekali untuk sy ..terima kasih semua tim dari halodoc 🥰🥰🥰
RACHMI WIJAYA,4,2022-05-11 01:42:07,Dokter-dokternya Koperatif
S Edi Nugroho,5,2022-05-11 00:17:15,"Mantab nih terintegrasi keluhan pasien waktu tengah malam, klik dokter, resep, langsung klik toko obat dan pengiriman kealamat. Hanya ada yg tertunda pengiriman sebagian obatnya tunggu besok pagi"
Melva Lumban Gaol,5,2022-05-10 20:58:50,App ini sgt membantu sya dikala pagi hari urgent utk chat konsultasi sama dokter.
ekky testa,5,2022-05-10 15:28:44,Terbaik dr yg terbaik
catherine gunawan,5,2022-05-10 15:01:50,Sangat membantu
Ferdinand Viery Andriyanto,5,2022-05-10 14:52:27,Sangat membantu saat butuh konsultasi segera
Andara Finzani,5,2022-05-10 14:20:54,Sangat membantu
riska maruao,5,2022-05-10 12:53:16,Sangat membantu👍🏾👍🏾
Kyh_67,1,2022-05-10 11:49:39,"Sangat mengecewakan, Pesan obat lewat aplikasi halodoc, obat belum/tidak terkirim, pembayaran sdh terkonfirmasi berhasil, totalnyatidak seberapa, tapi sangat dibutuhkan, tidak bisa cek pesanan, karena telepon driver tidak dapat dihubungi, email error,harap segera ditindaklanjuti...!"
iqbal jamaludin,1,2022-05-10 10:08:20,Sangat tidak bagus belum melakukan konsultasi malah sudah selesai aneh ini apk gak paham sama sistem nya mana customer service nya tidak ramah lagi
Mega Putri,5,2022-05-10 08:37:35,"Aplikasi halodoc sangat membantu sy, mempermudah sy dalam mencari/membeli obat dgn mudah. Diantar gojek langsung sampai depan rumah. terimakasih halodoc. Sukses selalu"
Yusuf Aditya Putra Pramana_45,5,2022-05-10 08:06:24,Sangat rekomended
Muhammad Farhansyah,5,2022-05-10 06:50:07,Sangat membantu
Nurul Goblok,5,2022-05-10 04:51:57,Halo nama saya nurul . Aplikasi nya bagus sih tapi nggak tau cara pake nya
Candro pratama,4,2022-05-10 04:32:46,Dicoba dulu saran dari dokternya
Husni Suryo,5,2022-05-10 03:36:27,Sangat membantu sekali
Anggi,4,2022-05-10 02:05:22,"Suka pake halodoc, membantu banget, dokter nya juga baik merespon keluhan kita, obat juga langsung sampai, tapi ongkir lumayan agak mahal 😂👍"
Firman Abdurrahman,5,2022-05-10 01:19:16,Sangat membantu.... Terima kasih !!!
rie yuna,5,2022-05-10 00:59:45,Sangat membantu saat bingung anak sakit
David Fudji Santosa,5,2022-05-10 00:22:43,Sangat membantu
Lidya Pink,5,2022-05-09 21:08:53,Dokter nya cepat respon .. klau obat mngkin ditmpat saya tdak ada apotek 24 jam
khoerun najah,4,2022-05-09 16:02:59,Tidak semua alamat bisa dijangkau
Tindo Tindo,5,2022-05-09 14:42:46,Aplikasi yang membantu dapat konsultasi sambil rebahan dirumah
Toni Paslawi,5,2022-05-09 11:57:00,"pengiriman amanah,kurir ramah 👍👍"
Anggarda Tok,1,2022-05-09 11:15:39,"Check out obat bayar pake virtual account bca jeda 5 menit doank transaksi expired,.. uang hilang ga bisa refund.. apa ini.."
Sunshin Puzz,1,2022-05-09 11:09:52,Pesen obat bukan nya cepet dateng malah pembayaran blm berhasil. Di rifund nunggu kurang lebih 5 hari keburu sembuh duluan ya hahah Gak membantu
Mama Jemy,5,2022-05-09 08:57:55,Aplikasi yg sangat mmbantu kbutuhan ksehatan..
Velia Yolanda,5,2022-05-09 08:26:34,"Bagus, jadi tau gejala apa yg kita alami supaya cepat ditindaklanjuti"
rully pertiwi,5,2022-05-09 07:43:43,Puaaasss dgn pelayanan ya cepet sampainya
A AA,1,2022-05-09 07:20:01,Kacau banget aplikasi main hapus ulasan. Saya vertigo parah nunggu obat aja dibuat repot minta ampun. Telp keulang ulang yang disalahkan dokter padahal dokter masih saya chat saat telpon. Nama CSnya Ellie dan Elsa bertele tele semua. PERCUMA TELP CSnya! Keburu meninggal kalian berobat disini UDAH HUBUNGIN CS CUMA TUNGGU SAMPE NGABIS NGABISIN PULSA. LU TELP AJA KESINI USER AN. HENDRO ALIF! TELP 3 KALI
Evy Yanasari,5,2022-05-09 02:04:09,Terima kasih banyak sangatt membantu sekali...
Banjir Kuota,1,2022-05-09 01:46:54,Awalnya bagus dan lancar. Dan sangat recomended. Tapi sekarang gangguan terussss.. nggak bisa terhubung asuransi. Pemilihan apotik yg obatnya tdk lengkap. Jelek banget aplikasinya. Mhn perbaikan buat menarik user.
alfirial nurtumai,5,2022-05-09 00:58:15,"Membantu banget asli,,,apalagi pas tugas diluar daerah"
Diana Simbolon,1,2022-05-08 23:50:53,Jelek bangat.. mau konsultasi udah bayar.. malah ngak bisa chat sgala macam... menghilang
Nurul Kamaril,5,2022-05-08 20:53:22,Mantap..... Saya cocok sama layanannya
Atin Supriyatin,5,2022-05-08 17:21:31,Sangat membantu...
Renal Fajri,5,2022-05-08 13:16:01,Sangat membantu
kmaria amartin,5,2022-05-08 13:10:23,"Dokternya baik dan ramah, memberikan penjelasannya, Jelas dan mudah dimengerti"
Stefiani Regina Songkilawang,5,2022-05-08 12:43:46,Sangat membantu apalagi kalau hari libur tidak ada dr yang praktek
Dark Shine,5,2022-05-08 12:32:37,Dokter umumnya lebih gak perduli tolong ya
eko prasetiadi,5,2022-05-08 11:47:33,penanganan yg cepat dari para dokter spesialis di halodoc...teope...
Ferryanto Santoso,1,2022-05-08 11:40:55,Masa sesi konsultasi belum selesai udah otomatis selesai? Tadi saya lagi sesi konsultasi Gizi Klinik. Rencana mau request sesi telepon sm dokter biar jelas. Eh Dokterny jg ternyata ada pasien lain (JADI CERITANYA BISA TERIMA PASIEN LAIN SELAGI SESI KONSUL SAMA KITA?) Jadinya lama kali respon. Keburu habis sesi konsultasi 30 menit. Rugi! Buang2 duit. Mending ketemu dokter langsung. Kalau bisa dokternya dilarang terima pasien lain saat sesi konsultasi jdi lebih fokus.
Thifhans KFR,5,2022-05-08 07:49:58,Respon dokternya sangat baik
VirusKids,1,2022-05-08 04:07:28,Nyesel ngecek di halodoc. Ternyata harga cek antigen beda jauh dr aktual di RS. Aktual Di RS jauh lebih murah. Hasil blm keluar2 di aplikasi
Mamanya Kakaade,5,2022-05-08 04:01:40,Sangat Mempermudah
Vira Doank,5,2022-05-08 03:36:32,"Aplikasinya bagus, meskipun dokternya tidsk bisa memberikan diagnosis dan pemeriksaan secara langsung, tapi masukannya cukup memberikan informasi yang akurat"
adiek widiasmara,5,2022-05-08 03:19:11,Sangat membantu berkonsultasi dg xepat
Ayu Nugroho,1,2022-05-08 02:34:12,Pesan obat sudah 4 hari tidak ada berita status di dalam proses dan terkonfirmasi tetapi setelah hbungi Cs sudah d batalkan dan dan tidak kembali sangat mengecewakan kalau ada bintang minus 5 saya kasih minus 5
Dila Kristiningrum,5,2022-05-08 00:21:58,Sangat membantu sekali utk konsultasi mendesak di jam liburpun dng biaya murah.terima kasih
Ranita Ika Pahtiara,5,2022-05-07 23:56:02,Aplikasi sangat membantu disaat urgent
ruh One,5,2022-05-07 23:22:14,Solusi bagi yang sibuk untuk berkonsultasi dengan dokter ahli
BSCG official,1,2022-05-07 19:01:14,Mau nanya doang hrus bayar payah
alex prasetyo,5,2022-05-07 15:10:04,"Sangat membantu ,, pengiriman obat cepat sekali"
Elin Marlina,1,2022-05-07 13:48:40,"Kek gk makin gk guna bgt ni aplikasi Nyari obat dapetnya apotik jauh bgt , mn lama bgt , gk ada kejelasan , gk bisa komunikasi sm petugas apotik nya . Udah pke BA artis tapi kok malah makin gk guna bgt ni aplikasi . Hapus aja di play store 😤😤"
Dila Octavia,5,2022-05-07 12:31:20,sangat membantu keren deh
ida nuryanti,5,2022-05-07 12:02:09,Cukup membantu ketika cuaca lg buruk tetapi harga blm terjangkau untuk kalangan menengah ke bawah
Siti Jilan salma sahara,5,2022-05-07 07:31:30,"Aplikasi kesehatan paling bagus, beli obat cepat sampai, konsultasi dengan dokter tidak perlu menunggu lama 👍"
AGUS EFENDI,5,2022-05-07 06:45:14,Cukup membantu untuk berkonsultasi online dizaman serba online. Semoga kita diberikan kesehatan..salam sehat
Osep Pratama,3,2022-05-07 06:22:29,"Aplikasinya membantu banget sih. Cukup konsultasi, dapet resep, pesan. Tapi ada saran nih, alangkah baiknya ketika dilakukan pemesanan resep obat kesalah satu apotek, bagusnya ada sistem konfirmasi dlu ke apoteknya, apakah obat yg di pesan ada atau tidak disana ! Soalnya permaslahan yg saya alami ketika dapat beberapa resep obat dari dokternya, dan ketika dipesankan ke apotek cuma sebagian obat yg ada, sisanya ga ada. Jadi kan bingung klo begitu !! Semoga ada pengembangan lagi perihal itu !!"
ridita120513 ridita120513,5,2022-05-07 05:25:34,Sangat membantu
Hendra,5,2022-05-07 03:28:51,Sangat membantu sekali
Yuli Ernawati,5,2022-05-07 02:50:11,Sangat membantu sekalu pokoknya...
sandy cahyadi,5,2022-05-07 02:48:43,"Puas, simpel dan mudah Sangat terbantu jika malas keluar kedokter"
Edhy ibob audio,5,2022-05-07 02:35:40,Sangat membantu
muna warah,5,2022-05-07 02:07:21,Dokternya cepat responnya
Mr. Tato tato,5,2022-05-07 00:39:01,sangat membantu
windi astuti,5,2022-05-07 00:37:36,"Dokternya ramah tamah, aplikasi mudah digunakan"
Ruben Selamat,5,2022-05-06 23:22:39,Aplikasi konsultasi terbaik
Putri Khamidah,5,2022-05-06 21:58:33,Sangat amat membantu skaliiiiiii Disaat suasana tidak bisa keluar ke RS
Siti Endang,5,2022-05-06 16:38:05,"Untuk saat ini bagus , Alhamdulillah dipermudah bisa tanya tanya masalah kesehatan"
Nurjannah Abdurrahim,5,2022-05-06 15:44:36,memudahkan bangat
Ronald robi,1,2022-05-06 15:33:36,Apaan dokter nya gak respon setelah bayar dan proses refund sangat lama gimana kalau keadaan gawat ?
Nashbita Tour & Travel,5,2022-05-06 10:24:00,Alhamdulillah sy suka dengan aplikasi ini Sangat membantu sy ketika tidak bisa keluar rumah dan mendapatkan obat secara online Juga konsultasi dengan dokter2 spesialis sangat bagus sekali.. bisa memilih dokter sesuai dgn budget atau pengalaman dokter yang diinginkan.. Terus lah membuat kemajuan yang berarti Tim Halodoc.. Bravo Bintang 5 ⭐⭐⭐⭐⭐
galuh hapsari,5,2022-05-06 09:52:45,Sangat membantu
citra sanjaya,5,2022-05-06 06:40:52,Sangat membantu
Yanuar Fajar Anugrah,5,2022-05-06 03:44:37,bagus dokternya ramah harga murah
Yosa Anggraeni,5,2022-05-06 00:46:27,Sangat membantu 👍🏻
Sufi Rahman,5,2022-05-05 23:51:00,Sangat membantu disaat semua klinik tutup karena lebaran
Muhammad Harsa Adinata,5,2022-05-05 20:29:25,"Keren Halodoc, jam segini masih ada dokter ynag merespon dengan cepat, dr hadika penyakit dalam salah satunya 🌟"
Yun Nays_,2,2022-05-05 18:16:31,Kirain pengguna baru bisa gratis dulu sekali. Mengecewakan padahal mendadak blogg!
Rahmad Jefri,5,2022-05-05 13:47:22,"Membantu, terimakasih, mudahan bermanfaat bagi ekonomi menengah kebawah, suapaya terjangkau."
Agi Wibisana,5,2022-05-05 11:48:32,Aplikasi yang sangat memberi kepuasan
Emiru Yamamoto,5,2022-05-05 11:20:31,Sangat mudah dan membantu... Terima kasih
Dady Hidajat,5,2022-05-05 11:19:09,"Tidak perlu repot2 ke RS, cukup di rumah saja"
Deni Nugraha,5,2022-05-05 07:22:04,"Karena dr.Lisa, gua kasih ⭐⭐⭐⭐⭐. terimakasih dok. Ramah Past Respon Jelas & lugas Aku padamu ❤"
Oda Dafit,5,2022-05-05 05:52:45,Dokternya sabar mendengar keluhan saya
MasKoeh Channel,5,2022-05-05 02:52:46,Sangat membantu sekali.
Dhea[강지은],5,2022-05-05 02:27:21,puas banger respone dokter cepat dan baik banget memberikan kesempatan untuk bertanya sampai jelas dan paham
Tomi Aji Fajar Yustanto,5,2022-05-05 02:22:55,Apk yg membantu di saat emergency
Zank Suryana,5,2022-05-05 01:52:41,Sangat membantu
Desti Ariani,1,2022-05-05 00:29:15,Nunggu dokternya lamaaaa dan gak pernah muncul setiap kali coba app ini.
Deden Ramdhani,5,2022-05-04 23:05:27,Pelayanan cepat & detail. Obat yg diberikan sangat baik.
Yusri68 Yusri86,5,2022-05-04 12:39:50,Mantap pelayanan kesehatan dan solusinya.cepat tanggapan nya
Leo Barkah,5,2022-05-04 12:29:53,"Sangat membantu, terimakasih."
M Fadil Zaini,5,2022-05-04 11:24:34,"sangat baik, nyaman untuk berkonsultasi hanya dirumah saja"
Dhony Draco,5,2022-05-04 07:22:57,Sangat membantu sekali 🙏
AGUS WAHYONO,5,2022-05-04 04:58:22,Bagus .... pelayanan mantap dokternya juga ramah ramah ...kurirnya cepet
Daniel Donn,5,2022-05-04 03:22:32,Sangat membantu
Tina Martina,5,2022-05-04 03:20:24,dokternya ramah gercep
SRI MARTA,4,2022-05-04 03:08:05,Waktu untuk konsultasinya terlalu singkat.. kalau bisa agak lama sedikit.. tapi untuk saya yg baru menggunakan sangat membantu.. terimakasih..
Agus Hidayat,3,2022-05-04 02:41:26,Agak lama respon nya jika melayani lebih dari satu sampe dr nya mengahiri apalagi jaringannya jelek
pratomo incorporated,4,2022-05-04 02:13:41,Chat dengan dokternya bagus. Cuma sayang untuk order obat ngga bisa segera. Menurut saya harus segera diperbaiki layanan untuk nebus resep obatnya
Baek Hyun,1,2022-05-04 01:54:38,"Tidak bisa mnghubungi dokternya, karena gk diangkat/dibalas kita gk bisa langsung cari dokter lain..harus bayar lagi, tengan pengembalian dana yang lama, malah di kemblikan ke dompet hallodoc bukan ke gopay...big no untuk pke layanan ini"
Tedy Prabowo,5,2022-05-03 21:49:00,Amat sangat membantu untuk keluarga 🙏🙏🙏🙏
Arief Maulana Fajrin,5,2022-05-03 17:04:57,Sangat membantu
Devi Aryanti Lubis,5,2022-05-03 15:38:49,Sangat membantu
Andre Kurniawan,5,2022-05-03 15:34:53,"sangat membantu dikala butuh banget obat, konsultasi + permintaan resep juga mudah, josss pokoknya 👍👍👍👍👍"
Herawati,5,2022-05-03 14:39:01,Pengiriman cepat barang ori
Fatih Mulia Utama,2,2022-05-03 14:36:02,"Tolong kalau biaya kirim pake gosend yang jelas itu udah sama ongkos parkir atau belum, sebab saya ngerasa biasanya saya ga ada dipalak uang parkir,bukan masalah nominalnya tp ini karena pesan urgent utk obat sakit, dan cashless pake gopay biar cepat bisa diminum obatnya. Jadiny harus masuk lagi ambil uang dulu. Biasanya ga pernah dipalak uang parkir setau dan sepengalaman saya klo parkir ojol selalu dpt prioritas"
Icha,5,2022-05-03 13:37:28,Membamtu sekali disaat urgen
Mas Basir,5,2022-05-03 12:58:57,Sangat membantu
Herlando Junanta,5,2022-05-03 11:37:08,Sangat membantu sekali.
Andriyan Desky,5,2022-05-03 10:22:10,"Berobat menggunakan aplikasi ini pertama di waktu idul Fitri pada jam 22.00, respon dokter baik, saya terkendala dengan proses pengiriman dengan status di system belum menemukan driver, tetapi gopay saya sdh terdebit, kedepannya mohon di evaluasi menggenai tampilan di aplikasi menggenangi status pengiriman agar konsumen mudah merubah pesanannya..tks"
Ayu Samania,5,2022-05-03 09:19:16,Sangat membantu
Erni Sri Wulan,4,2022-05-03 08:54:41,"Konsul dr dokter nya membantu, tp chat nya harus cpt2, pdhal td msh ada yg ingin ditanyakan lagi 😊"
peter dipo,5,2022-05-03 08:09:14,Good. Penting disaat genting
Santi Nurhayati,5,2022-05-03 05:38:26,Aplikasinya sangat membantu banget disaat dokter2 lagi pada cuti bisa jd bisa diandalkan dokter2nya juga sigap cepet responnya 👍😊
Occa Occa,1,2022-05-03 05:28:52,"Dicek dulu ketersediaan apotik nya bos, jangan sampai bilang buka pas didatangi bilangnya tutup gimana sih duit kita hilang dah ratusan ribu"
Livo Nerliawati,5,2022-05-03 04:19:51,"Hallodoc sangat memudahkan keluarga saya , cepat dan tepat 🙏🏻🙏🏻🙏🏻😍😍😍 sukses terus buat dokter2 yg bergabung d aplikasi hallodoc. Thanks a lot dokter2 luar biasa 🙏🏻🙏🏻🙏🏻"
Eka Eka,5,2022-05-03 03:33:08,"nice, respon cepat, langsung kasih solusi & resep obat, meskipun di chat malam2 jam 12 malam.. Alhamdulillah puji Tuhan, besok paginya sembuh karena minum obat anjuran dari dokter di halodoc.."
Achya Pradytia,5,2022-05-03 03:09:21,sangat membantu
Novitmaulana Akbar,1,2022-05-03 02:14:52,"Awal pakai aplikasi ini. Padahal ada chat dengan dokter yang geratis, tapi sekang kok udah bayar semua yaaaa"
tonny 19,5,2022-05-03 00:53:50,"Kiriman obat melalui halodoc cepat dan mudah, good job halodoc"
neneng asmiati,5,2022-05-02 18:29:29,"Sangat membantu malam2 perlu obat dapat membeli di toko obat halodoc ,pelayanannya cepat ,tanpa harus keluar rumah...terbaik👍👍👍"
Gojaly Ferly,1,2022-05-02 18:25:02,"Bingung jadinya pakai halodoc saya konsul ke dok psikiater ,di kasih resep tapi di tolak terus sama apotek nya kenapa yah apa obat nya lumayan bahaya apa gimana jadi bingung terus apa guna nya konsul"
Okky Pangestu Putra,1,2022-05-02 18:10:39,Tidak membantu sama sekali padahal urgent dan kita sudah membayar tapi tidak bisa berkonsultasi sangat mengecewakan ..
Amanda Kurniasih,5,2022-05-02 16:40:44,"Nunggunya ga lama. Mantap. Dr berbagai aplikasi konsul dokter, ini yg paling nyaman. Tambahin pembayaran pakai Ovo dong hehehe"
Muhson As'yari As'yari,4,2022-05-02 16:02:54,Terimakasih sangat cepat dan mudah
Deesy Wulansari,5,2022-05-02 15:46:48,Senang sekali bisa konsultasi online di halodoc..mudah praktis.dsn dokternya ramah sekali membalas pesan kami
Chandra Kurniawan,1,2022-05-02 15:45:44,"Beli termometer aja dpt apotiknya juaaauhh bgt , pd hal dilokasi terdekat dari Rumah kita banyak apotik knp tdk diambilkan yg terdekat taapi dicarikan yg jauh sehingga driver banyak yg cancel orderan!!"
Rifki Alfian,5,2022-05-02 13:53:10,"Ini apk berguna banget untuk darurat, minta resep obat dan konsultasi.. Terimakasih Halodoc 🙏🙏"
ryan ardiansyah,5,2022-05-02 13:49:46,Sangat membantu
Niken,5,2022-05-02 12:46:51,"Sangat membantu saat dokter disekitar rumah tidak praktek,tinggal konsultasi lewat halodoc"
ragendra azam,5,2022-05-02 12:35:36,Sangat bermanfaat dimana saja dan kapan saja
M.A. FERNANDEZ,5,2022-05-02 11:50:32,Sangat membantu ...
Futra Dwi,5,2022-05-02 04:12:20,Sangat membantu
