userName,score,at,content,cleaned_content,cleaning_data,stopword_comment,Normalization,Remove_noise
muli ani,5,2022-05-16 07:38:26,"Sangat puas dgn hasil konsultasinya, semoga memberi hasil yg memuaskan jg..","sangat puas dgn hasil konsultasinya, semoga memberi hasil yg memuaskan jg..",sangat puas dgn hasil konsultasinya  semoga memberi hasil yg memuaskan jg  ,sangat puas dgn hasil konsultasinya semoga memberi hasil yg memuaskan jg ,sangat puas dengan hasil konsultasinya semoga memberi hasil yang memuaskan juga,sangat puas dengan hasil konsultasinya semoga memberi hasil yang memuaskan juga
yuni w,5,2022-05-16 06:54:52,"Sangat membantu, konsultasi tanpa perlu ktemu dokter ato datang ke klinik","sangat membantu, konsultasi tanpa perlu ktemu dokter ato datang ke klinik",sangat membantu  konsultasi tanpa perlu ktemu dokter ato datang ke klinik,sangat membantu konsultasi tanpa perlu ktemu dokter ato datang ke klinik,sangat membantu konsultasi tanpa perlu ktemu dokter atau datang ke klinik,sangat membantu konsultasi tanpa perlu ktemu dokter atau datang ke klinik
FANA BANYUWANGI OFFICIAL,2,2022-05-16 04:25:58,"Alamat gak bisa nulis sendiri, harus pakai map. Akhirnya gak bisa akurat, dan paket lewat sicepat tapi 3 hari sama kurir gak di antar2. Padahal obat mau di pakai... Payah...","alamat gak bisa nulis sendiri, harus pakai map. akhirnya gak bisa akurat, dan paket lewat sicepat tapi 3 hari sama kurir gak di antar2. padahal obat mau di pakai... payah...",alamat gak bisa nulis sendiri  harus pakai map  akhirnya gak bisa akurat  dan paket lewat sicepat tapi hari sama kurir gak di antar  padahal obat mau di pakai    payah   ,alamat gak bisa nulis sendiri harus pakai map akhirnya gak bisa akurat dan paket lewat sicepat tapi hari sama kurir gak di antar padahal obat mau di pakai payah ,alamat tidak bisa nulis sendiri harus pakai map akhirnya tidak bisa akurat dan paket lewat sicepat tapi hari sama kurir tidak di antar padahal obat mau di pakai payah,alamat tidak bisa nulis sendiri harus pakai map akhirnya tidak bisa akurat dan paket lewat sicepat tapi hari sama kurir tidak di antar padahal obat di pakai payah
Siti Komariyah,4,2022-05-16 03:45:50,"dokter nya sgt sbr,br pun bnyk bertanya,respon nya baik & cpt, terimakasih y dok","dokter nya sgt sbr,br pun bnyk bertanya,respon nya baik & cpt, terimakasih y dok",dokter nya sgt sbr br pun bnyk bertanya respon nya baik   cpt  terimakasih dok,dokter nya sgt sbr br pun bnyk bertanya respon nya baik cpt terimakasih dok,dokter nya sangat sabar baru pun banyak bertanya respon nya baik cepat terimakasih dok,dokter sangat sabar baru banyak bertanya respon baik cepat terimakasih
Indah maya,5,2022-05-16 02:10:31,Puas konsultasi dengan dokter terbaik,puas konsultasi dengan dokter terbaik,puas konsultasi dengan dokter terbaik,puas konsultasi dengan dokter terbaik,puas konsultasi dengan dokter terbaik,puas konsultasi dengan dokter terbaik
Kamal Kebumen,1,2022-05-16 01:25:42,"Payah.. dokternya ga ada respon. Pertama gagal, saldo balik. Kedua ga ada respon/menggantung. Klo ga siap sama dokternya ga usah gaya2 an buka konsultasi online.?","payah.. dokternya ga ada respon. pertama gagal, saldo balik. kedua ga ada respon/menggantung. klo ga siap sama dokternya ga usah gaya2 an buka konsultasi online.?",payah   dokternya ga ada respon  pertama gagal  saldo balik  kedua ga ada respon menggantung  klo ga siap sama dokternya ga usah gaya an buka konsultasi online  ,payah dokternya ga ada respon pertama gagal saldo balik kedua ga ada respon mengantung klo ga siap sama dokternya ga usah gaya an buka konsultasi online ,payah dokternya tidak ada respon pertama gagal saldo balik kedua tidak ada respon mengantung kalau tidak siap sama dokternya tidak perlu gaya an buka konsultasi online,payah dokternya tidak ada respon pertama gagal saldo balik kedua tidak ada respon mengantung kalau tidak siap sama dokternya tidak perlu gaya buka konsultasi online
famous djava,5,2022-05-15 14:07:51,"Sangat membantu setiap saat, bahkan 24jam. Dokternya ramah2 dan selalu memberi solusi terbaik. sukses terus yaa","sangat membantu setiap saat, bahkan 24jam. dokternya ramah2 dan selalu memberi solusi terbaik. sukses terus yaa",sangat membantu setiap saat  bahkan jam  dokternya ramah dan selalu memberi solusi terbaik  sukses terus yaa,sangat membantu setiap sat bahkan jam dokternya ramah dan selalu memberi solusi terbaik sukses terus ya,sangat membantu setiap sat bahkan jam dokternya ramah dan selalu memberi solusi terbaik sukses terus iya,sangat membantu setiap sat bahkan dokternya ramah dan selalu memberi solusi terbaik sukses terus
Serly Cahyanurani G,5,2022-05-15 12:21:30,Terimakasih halodoc sangat membantu sekali,terimakasih halodoc sangat membantu sekali,terimakasih halodoc sangat membantu sekali,terimakasih halodoc sangat membantu sekali,terimakasih halodoc sangat membantu sekali,terimakasih halodoc sangat membantu sekali
Alice Yohana Christy,5,2022-05-15 10:20:04,"Suka, melalui aplikasi ini saya sangat terbantu","suka, melalui aplikasi ini saya sangat terbantu",suka  melalui aplikasi ini saya sangat terbantu,suka melalui aplikasi ini saya sangat terbantu,suka melalui aplikasi ini saya sangat terbantu,suka melalui aplikasi ini saya sangat terbantu
Ika Febri,5,2022-05-15 09:08:41,Sangat membantu sekali dan alhamdulillah cocok,sangat membantu sekali dan alhamdulillah cocok,sangat membantu sekali dan alhamdulillah cocok,sangat membantu sekali dan alhamdulilah cocok,sangat membantu sekali dan alhamdulilah cocok,sangat membantu sekali dan alhamdulilah cocok
Devi Dewayanti,5,2022-05-15 07:37:33,Sayang banget sama halodoc bintang 10 untuk halodoc ❤️❤️❤️❤️,sayang banget sama halodoc bintang 10 untuk halodoc ❤️❤️❤️❤️,sayang banget sama halodoc bintang untuk halodoc         ,sayang banget sama halodoc bintang untuk halodoc ,sayang banget sama halodoc bintang untuk halodoc,sayang banget sama halodoc bintang untuk halodoc
ady 3396,5,2022-05-15 06:44:51,tidak perlu keluar rumah untuk konsultasi dengan dokter,tidak perlu keluar rumah untuk konsultasi dengan dokter,tidak perlu keluar rumah untuk konsultasi dengan dokter,tidak perlu keluar rumah untuk konsultasi dengan dokter,tidak perlu keluar rumah untuk konsultasi dengan dokter,tidak perlu keluar rumah untuk konsultasi dengan dokter
Arif Yunan P.,5,2022-05-15 06:33:52,Sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu
SUPRIADI ARIF,5,2022-05-15 06:02:37,Sangat membantu dan penjelasan sangat jelas dan akurat. Mengerti dan melayani keluhan pasien denga seksama. Pokoknya halodoc is the best dan sangat membantu kami. Moga lebih ditingkatkan pelayanannya dan dokternya diberi kesehatan selalu. Mohon responnya lebih cepat karena waktu konsultasi hanya 30 menit. Karena terkadang chat lambat direspon.,sangat membantu dan penjelasan sangat jelas dan akurat. mengerti dan melayani keluhan pasien denga seksama. pokoknya halodoc is the best dan sangat membantu kami. moga lebih ditingkatkan pelayanannya dan dokternya diberi kesehatan selalu. mohon responnya lebih cepat karena waktu konsultasi hanya 30 menit. karena terkadang chat lambat direspon.,sangat membantu dan penjelasan sangat jelas dan akurat  mengerti dan melayani keluhan pasien denga seksama  pokoknya halodoc is the best dan sangat membantu kami  moga lebih ditingkatkan pelayanannya dan dokternya diberi kesehatan selalu  mohon responnya lebih cepat karena waktu konsultasi hanya menit  karena terkadang chat lambat direspon ,sangat membantu dan penjelasan sangat jelas dan akurat mengerti dan melayani keluhan pasien denga seksama pokoknya halodoc is the best dan sangat membantu kami moga lebih ditingkatkan pelayananya dan dokternya diberi kesehatan selalu mohon responya lebih cepat karena waktu konsultasi hanya menit karena terkadang chat lambat direspon ,sangat membantu dan penjelasan sangat jelas dan akurat mengerti dan melayani keluhan pasien denga seksama pokoknya halodoc is the best dan sangat membantu kami moga lebih ditingkatkan pelayananya dan dokternya diberi kesehatan selalu mohon responya lebih cepat karena waktu konsultasi hanya menit karena terkadang chat lambat direspon,sangat membantu dan penjelasan sangat jelas dan akurat mengerti dan melayani keluhan pasien denga seksama pokoknya halodoc is the best dan sangat membantu kami moga lebih ditingkatkan pelayananya dan dokternya diberi kesehatan selalu mohon responya lebih cepat karena waktu konsultasi hanya menit karena terkadang chat lambat direspon
Verlyno Nyoto Handoko,5,2022-05-15 05:09:15,"Sangat membantu saya.. konsul dokter, resep/ obat tinggal dikirim.. sangat praktis dan bermanfaat..👍🏼👍🏼👍🏼","sangat membantu saya.. konsul dokter, resep/ obat tinggal dikirim.. sangat praktis dan bermanfaat..👍🏼👍🏼👍🏼",sangat membantu saya   konsul dokter  resep  obat tinggal dikirim   sangat praktis dan bermanfaat        ,sangat membantu saya konsul dokter resep obat tingal dikirim sangat praktis dan bermanfat ,sangat membantu saya konsul dokter resep obat tingal dikirim sangat praktis dan bermanfat,sangat membantu saya konsul dokter resep obat tingal dikirim sangat praktis dan bermanfat
Raul Nesta,1,2022-05-15 04:22:07,"mau lengkapi profil , sudah di isi tapi gabisa di simpan ? wkwk aneh banget","mau lengkapi profil , sudah di isi tapi gabisa di simpan ? wkwk aneh banget",mau lengkapi profil   sudah di isi tapi gabisa di simpan   wkwk aneh banget,mau lengkapi profil sudah di isi tapi gabisa di simpan wkwk aneh banget,mau lengkapi profil sudah di isi tapi tidak bisa di simpan tertawa aneh banget,lengkapi profil sudah di isi tapi tidak bisa di simpan tertawa aneh banget
deni kurniawan,5,2022-05-15 03:42:40,"Memuaskan,cepat responnya","memuaskan,cepat responnya",memuaskan cepat responnya,memuaskan cepat responya,memuaskan cepat responya,memuaskan cepat responya
Rosa Andriyani,5,2022-05-15 01:37:26,tanggapan sangat cepat dan ramah dalam pelayanan,tanggapan sangat cepat dan ramah dalam pelayanan,tanggapan sangat cepat dan ramah dalam pelayanan,tangapan sangat cepat dan ramah dalam pelayanan,tangapan sangat cepat dan ramah dalam pelayanan,tangapan sangat cepat dan ramah dalam pelayanan
Alvarezza Putra Arilangga,5,2022-05-14 14:18:45,Sangat membantu.. saat membutuhkan dokter dan obat tidak harus keluar rumah. Keren,sangat membantu.. saat membutuhkan dokter dan obat tidak harus keluar rumah. keren,sangat membantu   saat membutuhkan dokter dan obat tidak harus keluar rumah  keren,sangat membantu sat membutuhkan dokter dan obat tidak harus keluar rumah keren,sangat membantu sat membutuhkan dokter dan obat tidak harus keluar rumah keren,sangat membantu sat membutuhkan dokter dan obat tidak harus keluar rumah keren
retno Sulistyorini,5,2022-05-14 14:00:28,Aplikasi ini sangat membantu,aplikasi ini sangat membantu,aplikasi ini sangat membantu,aplikasi ini sangat membantu,aplikasi ini sangat membantu,aplikasi ini sangat membantu
indah pramita,5,2022-05-14 11:47:55,"Lebih mudah dan praktis gak perlu jalan ke apotik, tinggal pesan langsung diantar kerumah","lebih mudah dan praktis gak perlu jalan ke apotik, tinggal pesan langsung diantar kerumah",lebih mudah dan praktis gak perlu jalan ke apotik  tinggal pesan langsung diantar kerumah,lebih mudah dan praktis gak perlu jalan ke apotik tingal pesan langsung diantar kerumah,lebih mudah dan praktis tidak perlu jalan ke apotik tingal pesan langsung diantar kerumah,lebih mudah dan praktis tidak perlu jalan ke apotik tingal pesan langsung diantar kerumah
Robby Agustinus,4,2022-05-14 10:34:53,Pelayanan yang bagus,pelayanan yang bagus,pelayanan yang bagus,pelayanan yang bagus,pelayanan yang bagus,pelayanan yang bagus
beny Widyatmaja,5,2022-05-14 10:00:05,sangat membantu...jangan panic halodoc solusinya,sangat membantu...jangan panic halodoc solusinya,sangat membantu   jangan panic halodoc solusinya,sangat membantu jangan panic halodoc solusinya,sangat membantu jangan panic halodoc solusinya,sangat membantu jangan panic halodoc solusinya
Asep Ibrahim,4,2022-05-14 09:36:21,Respon dokter cepat. Tapi obat kadang tidak diklaim,respon dokter cepat. tapi obat kadang tidak diklaim,respon dokter cepat  tapi obat kadang tidak diklaim,respon dokter cepat tapi obat kadang tidak diklaim,respon dokter cepat tapi obat kadang tidak diklaim,respon dokter cepat tapi obat kadang tidak diklaim
Anjani Hapsari,5,2022-05-14 08:30:20,Sangat membantu..... makasih halodoc,sangat membantu..... makasih halodoc,sangat membantu      makasih halodoc,sangat membantu makasih halodoc,sangat membantu terima kasih halodoc,sangat membantu terima kasih halodoc
Rina Detama,5,2022-05-14 04:08:34,Tinggal chat dr rumah..obat yg tdk ada sudah terkonfirmasi.. jd cari di apotek lain bisa..,tinggal chat dr rumah..obat yg tdk ada sudah terkonfirmasi.. jd cari di apotek lain bisa..,tinggal chat dr rumah  obat yg tdk ada sudah terkonfirmasi   jd cari di apotek lain bisa  ,tingal chat dr rumah obat yg tdk ada sudah terkonfirmasi jd cari di apotek lain bisa ,tingal chat dari rumah obat yang tidak ada sudah terkonfirmasi jadi cari di apotek lain bisa,tingal chat dari rumah obat yang tidak ada sudah terkonfirmasi jadi cari di apotek lain bisa
tonny Widya Patrianto,5,2022-05-14 03:57:36,"Top deh, sangat membantu","top deh, sangat membantu",top deh  sangat membantu,top deh sangat membantu,top deh sangat membantu,top sangat membantu
baiq eka,5,2022-05-14 03:29:32,Sangat membantu semoga bisa bermanfaat bagi orang banyak,sangat membantu semoga bisa bermanfaat bagi orang banyak,sangat membantu semoga bisa bermanfaat bagi orang banyak,sangat membantu semoga bisa bermanfat bagi orang banyak,sangat membantu semoga bisa bermanfat bagi orang banyak,sangat membantu semoga bisa bermanfat bagi orang banyak
Inggrid Novia,5,2022-05-14 03:21:32,Sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu
Meina Tia,5,2022-05-13 16:17:16,Sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu
muhammad hamrizaln,5,2022-05-13 15:57:54,Sangat membantu 🤗👍👍👌,sangat membantu 🤗👍👍👌,sangat membantu     ,sangat membantu ,sangat membantu,sangat membantu
HERNA WATY,5,2022-05-13 12:16:38,Sangat Baik tidak perlu antri lama,sangat baik tidak perlu antri lama,sangat baik tidak perlu antri lama,sangat baik tidak perlu antri lama,sangat baik tidak perlu antri lama,sangat baik tidak perlu antri lama
Nunik Saraswati,5,2022-05-13 11:50:18,"Membantu sekali, tapi sayangnya belum selesai bertanya chatnya keburu end","membantu sekali, tapi sayangnya belum selesai bertanya chatnya keburu end",membantu sekali  tapi sayangnya belum selesai bertanya chatnya keburu end,membantu sekali tapi sayangnya belum selesai bertanya chatnya keburu end,membantu sekali tapi sayangnya belum selesai bertanya chatnya terlanjur end,membantu sekali tapi sayangnya belum selesai bertanya chatnya terlanjur end
rahma Syahraini,5,2022-05-13 04:04:45,Membantu sekali,membantu sekali,membantu sekali,membantu sekali,membantu sekali,membantu sekali
Palupi Hasnah,1,2022-05-13 03:15:13,Dapat dokter spesialis yang 12 menitan baru dibales. Dan g nyampaikan di awal jika sedang sibuk atau ada pasien lain.. Sebelumnya dapat dokter yg awalnya agak slowresp tapi beliau menjelaskan kenapa.,dapat dokter spesialis yang 12 menitan baru dibales. dan g nyampaikan di awal jika sedang sibuk atau ada pasien lain.. sebelumnya dapat dokter yg awalnya agak slowresp tapi beliau menjelaskan kenapa.,dapat dokter spesialis yang menitan baru dibales  dan nyampaikan di awal jika sedang sibuk atau ada pasien lain   sebelumnya dapat dokter yg awalnya agak slowresp tapi beliau menjelaskan kenapa ,dapat dokter spesialis yang menitan baru dibales dan nyampaikan di awal jika sedang sibuk atau ada pasien lain sebelumnya dapat dokter yg awalnya agak slowresp tapi beliau menjelaskan kenapa ,dapat dokter spesialis yang menitan baru dibales dan nyampaikan di awal jika sedang sibuk atau ada pasien lain sebelumnya dapat dokter yang awalnya agak slowresp tapi beliau menjelaskan kenapa,dapat dokter spesialis yang menitan baru dibales dan nyampaikan di awal jika sedang sibuk atau ada pasien lain sebelumnya dapat dokter yang awalnya agak slowresp tapi beliau menjelaskan kenapa
Nova Meray,5,2022-05-13 02:51:23,"Penjelasan dan konsultasi sangat baik, dktr mengerti permasalahan penyakitnya","penjelasan dan konsultasi sangat baik, dktr mengerti permasalahan penyakitnya",penjelasan dan konsultasi sangat baik  dktr mengerti permasalahan penyakitnya,penjelasan dan konsultasi sangat baik dktr mengerti permasalahan penyakitnya,penjelasan dan konsultasi sangat baik dktr mengerti permasalahan penyakitnya,penjelasan dan konsultasi sangat baik dktr mengerti permasalahan penyakitnya
Candra Retno Wulan,5,2022-05-13 01:14:53,Pengalaman pertama dan puas,pengalaman pertama dan puas,pengalaman pertama dan puas,pengalaman pertama dan puas,pengalaman pertama dan puas,pengalaman pertama dan puas
Alvin Ardiansyah,5,2022-05-12 20:22:03,"tengah malem asma gw kambuh obat udah habis, apotek juga banyak yang tutup, gw coba pesen lewat halodoc. gak sampe ½jam udah nyampe, mantap emang","tengah malem asma gw kambuh obat udah habis, apotek juga banyak yang tutup, gw coba pesen lewat halodoc. gak sampe ½jam udah nyampe, mantap emang",tengah malem asma gw kambuh obat udah habis  apotek juga banyak yang tutup  gw coba pesen lewat halodoc  gak sampe ½jam udah nyampe  mantap emang,tengah malem asma gw kambuh obat udah habis apotek juga banyak yang tutup gw coba pesen lewat halodoc gak sampe ½jam udah nyampe mantap emang,tengah malam asma saya kambuh obat sudah habis apotek juga banyak yang tutup saya coba pesen lewat halodoc tidak sampai ½jam sudah nyampe mantap memang,tengah malam asma saya kambuh obat sudah habis apotek juga banyak yang tutup saya coba pesen lewat halodoc tidak sampai ½jam sudah nyampe mantap memang
Dita Hakim,5,2022-05-12 18:38:57,Respon cepat dan sangat membantu,respon cepat dan sangat membantu,respon cepat dan sangat membantu,respon cepat dan sangat membantu,respon cepat dan sangat membantu,respon cepat dan sangat membantu
Qyna Noor,5,2022-05-12 14:20:52,Keren applikasinya. Sukses selalu ya,keren applikasinya. sukses selalu ya,keren applikasinya  sukses selalu ya,keren aplikasinya sukses selalu ya,keren aplikasinya sukses selalu iya,keren aplikasinya sukses selalu
Suryanto Akien,5,2022-05-12 13:55:14,Puas sama jawaban dokter nya.,puas sama jawaban dokter nya.,puas sama jawaban dokter nya ,puas sama jawaban dokter nya ,puas sama jawaban dokter nya,puas sama jawaban dokter
Bayu bay bay,1,2022-05-12 13:46:56,Udah order chat dokter.. udah bayar.. saldo pun udah kepotong tapi pas dichat dokter nya nggak respon.. kecewa banget sumpah,udah order chat dokter.. udah bayar.. saldo pun udah kepotong tapi pas dichat dokter nya nggak respon.. kecewa banget sumpah,udah order chat dokter   udah bayar   saldo pun udah kepotong tapi pas dichat dokter nya nggak respon   kecewa banget sumpah,udah order chat dokter udah bayar saldo pun udah kepotong tapi pas dichat dokter nya ngak respon kecewa banget sumpah,sudah order chat dokter sudah bayar saldo pun sudah kepotong tapi pas dichat dokter nya tidak respon kecewa banget sumpah,sudah order chat dokter sudah bayar saldo sudah kepotong tapi dichat dokter tidak respon kecewa banget sumpah
Rosy Tasaniyah,4,2022-05-12 07:24:57,"Harga yg tertera kalo bisa yg terupdate biar tidak pake nambah lagi tunai ke kurirnya,krn ada perbedaan harga antara di aplokasi sama realita","harga yg tertera kalo bisa yg terupdate biar tidak pake nambah lagi tunai ke kurirnya,krn ada perbedaan harga antara di aplokasi sama realita",harga yg tertera kalo bisa yg terupdate biar tidak pake nambah lagi tunai ke kurirnya krn ada perbedaan harga antara di aplokasi sama realita,harga yg tertera kalo bisa yg terupdate biar tidak pake nambah lagi tunai ke kurirnya krn ada perbedan harga antara di aplokasi sama realita,harga yang tertera kalau bisa yang terupdate biar tidak pakai nambah lagi tunai ke kurirnya karena ada perbedan harga antara di aplokasi sama realita,harga yang tertera kalau bisa yang terupdate biar tidak pakai nambah lagi tunai ke kurirnya karena ada perbedan harga antara di aplokasi sama realita
Mery Kurniawan,1,2022-05-12 06:37:55,Anak saya direkomendasikan buat PCR sudah buat janji..tapi tidak ada bukti janji..cuma diminta telp ke penyedia test...aplikasi kurang bagus👎👎👎,anak saya direkomendasikan buat pcr sudah buat janji..tapi tidak ada bukti janji..cuma diminta telp ke penyedia test...aplikasi kurang bagus👎👎👎,anak saya direkomendasikan buat pcr sudah buat janji  tapi tidak ada bukti janji  cuma diminta telp ke penyedia test   aplikasi kurang bagus   ,anak saya direkomendasikan buat pcr sudah buat janji tapi tidak ada bukti janji cuma diminta telp ke penyedia test aplikasi kurang bagus ,anak saya direkomendasikan buat pcr sudah buat janji tapi tidak ada bukti janji cuma diminta telepon ke penyedia test aplikasi kurang bagus,anak saya direkomendasikan buat pcr sudah buat janji tapi tidak ada bukti janji cuma diminta telepon ke penyedia test aplikasi kurang bagus
Ary Juwono,5,2022-05-12 06:11:02,Kerenn aplikasinya,kerenn aplikasinya,kerenn aplikasinya,keren aplikasinya,keren aplikasinya,keren aplikasinya
DODY SETYAWAN,5,2022-05-12 05:42:39,Sangat membantu sekali 👍🏻👍🏻👍🏻,sangat membantu sekali 👍🏻👍🏻👍🏻,sangat membantu sekali       ,sangat membantu sekali ,sangat membantu sekali,sangat membantu sekali
Agatha Astri,5,2022-05-12 05:37:43,"Aplikasi yang bagus, sangat membantu","aplikasi yang bagus, sangat membantu",aplikasi yang bagus  sangat membantu,aplikasi yang bagus sangat membantu,aplikasi yang bagus sangat membantu,aplikasi yang bagus sangat membantu
Estina Nainggolan,5,2022-05-12 02:12:03,Membantuu untuk masyarakat,membantuu untuk masyarakat,membantuu untuk masyarakat,membantu untuk masyarakat,membantu untuk masyarakat,membantu untuk masyarakat
Go Traffic,5,2022-05-11 16:40:01,Alhamdu lillaaH. Bermanfaat dan sangat membantu,alhamdu lillaah. bermanfaat dan sangat membantu,alhamdu lillaah  bermanfaat dan sangat membantu,alhamdu lilah bermanfat dan sangat membantu,alhamdu lilah bermanfat dan sangat membantu,alhamdu lilah bermanfat dan sangat membantu
