Remove_noise,sentimen,sentimen_negatif,sentimen_netral,sentimen_positif
sangat membantu sat membutuhkan dokter dan obat tidak harus keluar rumah keren,negatif,1,0,0
lebih mudah dan praktis tidak perlu jalan ke apotik tingal pesan langsung diantar kerumah,positif,0,0,1
sangat membantu jangan panic halodoc solusinya,positif,0,0,1
respon dokter cepat tapi obat kadang tidak diklaim,netral,0,1,0
tingal chat dari rumah obat yang tidak ada sudah terkonfirmasi jadi cari di apotek lain bisa,negatif,1,0,0
top sangat membantu,positif,0,0,1
sangat membantu semoga bisa bermanfat bagi orang banyak,positif,0,0,1
sangat baik tidak perlu antri lama,netral,0,1,0
membantu sekali tapi sayangnya belum selesai bertanya chatnya terlanjur end,positif,0,0,1
dapat dokter spesialis yang menitan baru dibales dan nyampaikan di awal jika sedang sibuk atau ada pasien lain sebelumnya dapat dokter yang awalnya agak slowresp tapi beliau menjelaskan kenapa,netral,0,1,0
penjelasan dan konsultasi sangat baik dktr mengerti permasalahan penyakitnya,positif,0,0,1
pengalaman pertama dan puas,positif,0,0,1
tengah malam asma saya kambuh obat sudah habis apotek juga banyak yang tutup saya coba pesen lewat halodoc tidak sampai ½jam sudah nyampe mantap memang,netral,0,1,0
keren aplikasinya sukses selalu,netral,0,1,0
puas sama jawaban dokter,positif,0,0,1
sudah order chat dokter sudah bayar saldo sudah kepotong tapi dichat dokter tidak respon kecewa banget sumpah,positif,0,0,1
harga yang tertera kalau bisa yang terupdate biar tidak pakai nambah lagi tunai ke kurirnya karena ada perbedan harga antara di aplokasi sama realita,negatif,1,0,0
anak saya direkomendasikan buat pcr sudah buat janji tapi tidak ada bukti janji cuma diminta telepon ke penyedia test aplikasi kurang bagus,negatif,1,0,0
keren aplikasinya,netral,0,1,0
aplikasi yang bagus sangat membantu,netral,0,1,0
membantu untuk masyarakat,positif,0,0,1
alhamdu lilah bermanfat dan sangat membantu,positif,0,0,1
sangat membantu sat kondisi urgent pengiriman obat sangat cepat,positif,0,0,1
simpel dan mudah digunakan bagus pokoknya,positif,0,0,1
keren sekali sangat membantu terimkasih,positif,0,0,1
konsultasi chat pakai waktu sudah bayar tidak dapat resep obat bahkan di akhiri sesi tolong waktu agak di panjangin,positif,0,0,1
tidak bisa kenapa,negatif,1,0,0
sangat amat membantu untuk orang yang butuh dokter tapi tidak mempunyai waktu untuk langsung ke dokter,netral,0,1,0
terimakasih halodoc dan team dokter pelayanan cepat,positif,0,0,1
aplikasi yang sangat membantu sekali sat membutuhkan obatan dan konsultasi dokter terimakasih halodoc,positif,0,0,1
permudah aku kalau sakit tidak perlu ke rumah sakit the best,negatif,1,0,0
sangat membantu dokternya informatif,positif,0,0,1
sangat membantu memudahkan dalam konsultasi dan obat tidak antri yabg memakan waktu lama,netral,0,1,0
berguna di sat darurat pesan obat cepat sampai,positif,0,0,1
cuma suka males saja kalau beli obat terus toko begitu dan ongkirnya double jadinya selebihnya oke,negatif,1,0,0
seneng banget ada halodoc karena membantu sekali untuk saya terima kasih semua tim dari halodoc,netral,0,1,0
dokter dokternya koperatif,netral,0,1,0
ini terintegrasi keluhan pasien waktu tengah malam klik dokter resep langsung klik toko obat dan pengiriman kealamat hanya ada yang tertunda pengiriman sebagian obatnya tungu besok pagi,negatif,1,0,0
apa ini sangat membantu sya dikala pagi hari urgent untuk chat konsultasi sama dokter,positif,0,0,1
terbaik dari yang terbaik,netral,0,1,0
sangat membantu sat butuh konsultasi segera,positif,0,0,1
sangat mengecewakan pesan obat lewat aplikasi halodoc obat belum tidak terkirim pembayaran sudah terkonfirmasi berhasil totalnyatidak seberapa tapi sangat dibutuhkan tidak bisa cek pesanan karena telepon driver tidak dapat dihubungi email eror harap segera ditindaklanjuti,negatif,1,0,0
sangat tidak bagus belum melakukan konsultasi bahkan sudah selesai aneh ini apk tidak paham sama sistem mana customer service tidak ramah lagi,netral,0,1,0
aplikasi halodoc sangat membantu saya mempermudah saya dalam mencari membeli obat dengan mudah diantar gojek langsung sampai depan rumah terimakasih halodoc sukses selalu,positif,0,0,1
sangat rekomended,netral,0,1,0
halo nama saya nurul aplikasi bagus tapi tidak tahu cara pakai,negatif,1,0,0
dicoba dulu saran dari dokternya,netral,0,1,0
suka pakai halodoc membantu banget dokter juga baik merespon keluhan kita obat juga langsung sampai tapi ongkos kirim lumayan agak mahal,positif,0,0,1
sangat membantu sat bingung anak sakit,netral,0,1,0
dokter cepat respon kalau obat mngkin ditmpat saya tdak ada apotek,netral,0,1,0
tidak semua alamat bisa dijangkau,negatif,1,0,0
aplikasi yang membantu dapat konsultasi sambil rebahan dirumah,netral,0,1,0
pengiriman amanah kurir ramah,positif,0,0,1
check out obat bayar pakai virtual acount bca jeda menit doank transaksi expired uang hilang tidak bisa refund apa ini,negatif,1,0,0
pesen obat bukan cepat datang bahkan pembayaran belum berhasil di rifund nungu kurang lebih hari terlanjur sembuh duluan tidak membantu,netral,0,1,0
aplikasi yang sangat mbantu kebutuhan kesehatan,netral,0,1,0
bagus jadi tahu gejala apa yang kita alami supaya cepat ditindaklanjuti,negatif,1,0,0
puas dengan pelayanan cepat sampainya,positif,0,0,1
kacau banget aplikasi main hapus ulasan saya vertigo parah nungu obat saja dibuat repot minta ampun telepon keulang ulang yang disalahkan dokter padahal dokter masih saya chat sat telpon nama csnya elie dan elsa bertele tele semua percuma telepon csnya terlanjur meningal kalian berobat disini sudah hubungin cuma tungu sampai ngabis ngabisin pulsa kamu telepon saja kesini user hendro alif telepon kali,negatif,1,0,0
terima kasih banyak sangat membantu sekali,positif,0,0,1
awalnya bagus dan lancar dan sangat recomended tapi sekarang ganguan terus tidak bisa terhubung asuransi pemilihan apotik yang obatnya tidak lengkap jelek banget aplikasinya mohon perbaikan buat menarik user,netral,0,1,0
membantu banget asli apalagi tugas diluar daerah,positif,0,0,1
jelek bangat konsultasi sudah bayar bahkan tidak bisa chat sgala macam menghilang,negatif,1,0,0
mantap saya cocok sama layananya,positif,0,0,1
dokternya baik dan ramah memberikan penjelasanya jelas dan mudah dimengerti,positif,0,0,1
sangat membantu apalagi kalau hari libur tidak ada dari yang praktek,netral,0,1,0
dokter umumnya lebih tidak perduli tolong,netral,0,1,0
penanganan yang cepat dari para dokter spesialis di halodoc teope,netral,0,1,0
masa sesi konsultasi belum selesai sudah otomatis selesai tadi saya lagi sesi konsultasi gizi klinik rencana request sesi telepon sama dokter biar jelas dokterny juga ternyata ada pasien lain jadi ceritanya bisa terima pasien lain selagi sesi konsul sama kita jadinya lama kali respon terlanjur habis sesi konsultasi menit rugi buang uang lebih baik ketemu dokter langsung kalau bisa dokternya dilarang terima pasien lain sat sesi konsultasi jadi lebih fokus,positif,0,0,1
nyesel ngecek di halodoc ternyata harga cek antigen beda jauh dari aktual di rumah sakit aktual di rumah sakit jauh lebih murah hasil belum keluar di aplikasi,negatif,1,0,0
aplikasinya bagus meskipun dokternya tidsk bisa memberikan diagnosis dan pemeriksan secara langsung tapi masukanya cukup memberikan informasi yang akurat,negatif,1,0,0
sangat membantu berkonsultasi dengan xepat,positif,0,0,1
pesan obat sudah hari tidak ada berita status di dalam proses dan terkonfirmasi tetapi setelah hbungi sudah batalkan dan dan tidak kembali sangat mengecewakan kalau ada bintang minus saya kasih minus,negatif,1,0,0
sangat membantu sekali untuk konsultasi mendesak di liburpun dengan biaya murah terima kasih,positif,0,0,1
aplikasi sangat membantu disat urgent,netral,0,1,0
solusi bagi yang sibuk untuk berkonsultasi dengan dokter ahli,positif,0,0,1
bertanya saja harus bayar payah,negatif,1,0,0
sangat membantu pengiriman obat cepat sekali,netral,0,1,0
seperti tidak makin tidak guna banget ini aplikasi mencari obat dapetnya apotik jauh banget mana lama banget tidak ada kejelasan tidak bisa komunikasi sama petugas apotik sudah pakai artis tapi bahkan makin tidak guna banget ini aplikasi hapus saja di play store,negatif,1,0,0
cukup membantu ketika cuaca lagi buruk tetapi harga belum terjangkau untuk kalangan menengah ke bawah,negatif,1,0,0
aplikasi kesehatan paling bagus beli obat cepat sampai konsultasi dengan dokter tidak perlu menungu lama,netral,0,1,0
cukup membantu untuk berkonsultasi online dizaman serba online semoga kita diberikan kesehatan salam sehat,positif,0,0,1
aplikasinya membantu banget cukup konsultasi dapat resep pesan tapi ada saran ini alangkah baiknya ketika dilakukan pemesanan resep obat kesalah satu apotek bagusnya ada sistem konfirmasi dulu ke apoteknya apakah obat yang di pesan ada atau tidak disana soalnya permaslahan yang saya alami ketika dapat beberapa resep obat dari dokternya dan ketika dipesankan ke apotek cuma sebagian obat yang ada sisanya tidak ada jadi bingung kalau begitu semoga ada pengembangan lagi perihal itu,netral,0,1,0
sangat membantu sekalu pokoknya,positif,0,0,1
puas simpel dan mudah sangat terbantu jika malas keluar kedokter,positif,0,0,1
dokternya cepat responya,netral,0,1,0
dokternya ramah tamah aplikasi mudah digunakan,positif,0,0,1
aplikasi konsultasi terbaik,positif,0,0,1
sangat amat membantu sekali disat suasana tidak bisa keluar ke rumah sakit,positif,0,0,1
untuk sat ini bagus alhamdulilah dipermudah bisa tanya tanya masalah kesehatan,positif,0,0,1
memudahkan bangat,netral,0,1,0
apan dokter tidak respon setelah bayar dan proses refund sangat lama bagaimana kalau keadan gawat,negatif,1,0,0
alhamdulilah saya suka dengan aplikasi ini sangat membantu saya ketika tidak bisa keluar rumah dan mendapatkan obat secara online juga konsultasi dengan dokter spesialis sangat bagus sekali bisa memilih dokter sesuai dengan budget atau pengalaman dokter yang dinginkan terus membuat kemajuan yang berarti tim halodoc bintang,netral,0,1,0
bagus dokternya ramah harga murah,positif,0,0,1
sangat membantu disat semua klinik tutup karena lebaran,netral,0,1,0
keren halodoc segini masih ada dokter ynag merespon dengan cepat dari hadika penyakit dalam salah satunya,netral,0,1,0
kirain penguna baru bisa gratis dulu sekali mengecewakan padahal mendadak blog,netral,0,1,0
membantu terimakasih mudahan bermanfat bagi ekonomi menengah kebawah suapaya terjangkau,positif,0,0,1
aplikasi yang sangat memberi kepuasan,netral,0,1,0
sangat mudah dan membantu terima kasih,positif,0,0,1
tidak perlu repot ke rumah sakit cukup di rumah saja,negatif,1,0,0
karena dari lisa saya kasih terimakasih ramah past respon jelas lugas aku padamu,positif,0,0,1
dokternya sabar mendengar keluhan saya,netral,0,1,0
puas banger respone dokter cepat dan baik banget memberikan kesempatan untuk bertanya sampai jelas dan paham,positif,0,0,1
apk yang membantu di sat emergency,netral,0,1,0
nungu dokternya lama dan tidak pernah muncul setiap kali coba apa ini,negatif,1,0,0
pelayanan cepat detail obat yang diberikan sangat baik,positif,0,0,1
mantap pelayanan kesehatan dan solusinya cepat tangapan,positif,0,0,1
sangat baik nyaman untuk berkonsultasi hanya dirumah saja,positif,0,0,1
bagus pelayanan mantap dokternya juga ramah ramah kurirnya cepat,positif,0,0,1
dokternya ramah gercep,positif,0,0,1
waktu untuk konsultasinya terlalu singkat kalau bisa agak lama sedikit tapi untuk saya yang baru mengunakan sangat membantu terimakasih,negatif,1,0,0
agak lama respon jika melayani lebih dari satu sampai dari mengahiri apalagi jaringanya jelek,negatif,1,0,0
chat dengan dokternya bagus cuma sayang untuk order obat nga bisa segera menurut saya harus segera diperbaiki layanan untuk nebus resep obatnya,positif,0,0,1
tidak bisa mnghubungi dokternya karena tidak diangkat dibalas kita tidak bisa langsung cari dokter lain harus bayar lagi tengan pengembalian dana yang lama bahkan di kemblikan ke dompet halodoc bukan ke gopay big nomor untuk pakai layanan ini,negatif,1,0,0
amat sangat membantu untuk keluarga,positif,0,0,1
sangat membantu dikala butuh banget obat konsultasi permintan resep juga mudah pokoknya,positif,0,0,1
pengiriman cepat barang ori,netral,0,1,0
tolong kalau biaya kirim pakai gosend yang jelas itu sudah sama ongkos parkir atau belum sebab saya ngerasa biasanya saya tidak ada dipalak uang parkir bukan masalah nominalnya tapi ini karena pesan urgent untuk obat sakit dan cashles pakai gopay biar cepat bisa diminum obatnya jadiny harus masuk lagi ambil uang dulu biasanya tidak pernah dipalak uang parkir setau dan sepengalaman saya kalau parkir ojol selalu dapat prioritas,negatif,1,0,0
membamtu sekali disat urgen,negatif,1,0,0
berobat mengunakan aplikasi ini pertama di waktu idul fitri pada respon dokter baik saya terkendala dengan proses pengiriman dengan status di system belum menemukan driver tetapi gopay saya sudah terdebit kedepanya mohon di evaluasi mengenai tampilan di aplikasi mengenangi status pengiriman agar konsumen mudah merubah pesananya terima kasih,negatif,1,0,0
konsul dari dokter membantu tapi chat harus cepat padahal tadi masih ada yang ingin ditanyakan lagi,netral,0,1,0
god penting disat genting,netral,0,1,0
aplikasinya sangat membantu banget disat dokter lagi pada cuti bisa jadi bisa diandalkan dokternya juga sigap cepat responya,positif,0,0,1
dicek dulu ketersedian apotik jangan sampai bilang buka didatangi bilangnya tutup bagaimana uang kita hilang ratusan ribu,negatif,1,0,0
halodoc sangat memudahkan keluarga saya cepat dan tepat sukses terus buat dokter yang bergabung aplikasi halodoc terima kasih dokter luar biasa,positif,0,0,1
bagus respon cepat langsung kasih solusi resep obat meskipun di chat malam malam alhamdulilah puji tuhan besok paginya sembuh karena minum obat anjuran dari dokter di halodoc,positif,0,0,1
awal pakai aplikasi ini padahal ada chat dengan dokter yang geratis tapi sekang sudah bayar semua,netral,0,1,0
kiriman obat melalui halodoc cepat dan mudah god halodoc,positif,0,0,1
sangat membantu malam perlu obat dapat membeli di toko obat halodoc pelayananya cepat tanpa harus keluar rumah terbaik,positif,0,0,1
bingung jadinya pakai halodoc saya konsul ke psikiater di kasih resep tapi di tolak terus sama apotek kenapa yah apa obat lumayan bahaya apa bagaimana jadi bingung terus apa guna konsul,negatif,1,0,0
tidak membantu sama sekali padahal urgent dan kita sudah membayar tapi tidak bisa berkonsultasi sangat mengecewakan,negatif,1,0,0
nungunya tidak lama mantap dari berbagai aplikasi konsul dokter ini yang paling nyaman tambahin pembayaran pakai ovo dong hehehe,negatif,1,0,0
terimakasih sangat cepat dan mudah,positif,0,0,1
senang sekali bisa konsultasi online di halodoc mudah praktis dsn dokternya ramah sekali membalas pesan kami,positif,0,0,1
beli termometer saja dapat apotiknya juauh banget pada hal dilokasi terdekat dari rumah kita banyak apotik kenapa tidak diambilkan yang terdekat tapi dicarikan yang jauh sehinga driver banyak yang cancel orderan,negatif,1,0,0
ini apk berguna banget untuk darurat minta resep obat dan konsultasi terimakasih halodoc,positif,0,0,1
sangat membantu sat dokter disekitar rumah tidak praktek tingal konsultasi lewat halodoc,positif,0,0,1
sangat bermanfat dimana saja dan kapan saja,negatif,1,0,0
sangat membantu dan dari bagus ramah,positif,0,0,1
sangat membantu ketika butuh obat dalam waktu cepat responsif dan benar baik sukses selalu halodoc,positif,0,0,1
bagus mempermudah kita dalam berkonsultasi dengan dokter mengenai penyakit yang di alami tapi sayangnya resep yang diberikan belum sepenuhnya diterima oleh apotek di seluruh indonesia seperti di wilayah timur apoteker disana hanya menerima resep tertulis dan tidak menerima resep digital saya harap pihak halodoc dapat lebih memperkenalkan lagi mengenai aplikasi ini ke pihak pihak apotek apoteker yang ada di indonesia khususnya di wilayah timur indonesia terima kasih,negatif,1,0,0
it realy helpful terutama bagi teman teman yang berkonsultasi online sebelum memberanikan diri konsultasi ofline halodoc bisa bantu kita untuk memulai,positif,0,0,1
hebat akurat ramah,positif,0,0,1
membantu karena dapat memesan obat,netral,0,1,0
alhamdulilah puas konsul dokter spesialis disini,positif,0,0,1
mudah dan gampang tidak perlu mengantri ke rumah sakit atau tempat praktek dokter lagi cukup lewat apa ini kita sudah bisa memdapatkan pelayanan terbaik,netral,0,1,0
bagus dokternya ramah ramah,positif,0,0,1
pelayanan yang cepat,netral,0,1,0
update yang makan waktu lama,negatif,1,0,0
pesanan obatnya tidak sampai sudah beberapa sementara obatnya sangat dibutuhkan untuk anak saya,negatif,1,0,0
agar lebih baik lagi,netral,0,1,0
pertama kali pakai halodoc hari ini langsung kecewa bikin jadwal dokter di rumah sakit evasari sudah dikonfirm bahkan sebelumnya juga sudah di ingatkan untuk kita sebagai pasien agar datang lebih awal setengah ketika sampai rumah sakit ternyata dokternya tidak ada dan berhalangan hadir informasi terjadi pembatalan setelah saya sampai di rumah sakit dan ajukan komplain kami pakai aplikasi ini berarti kami memang butuh penanganan ataupun perobatan bukan sekedar iseng iseng,negatif,1,0,0
aplikasi yang sangat bermanfat semoga kedepanya lebih berkembang lagi,negatif,1,0,0
senang mengunakan aplikasi ini sangat mudah dan simple,positif,0,0,1
mantap sangat puas,positif,0,0,1
mantap pelayananya,positif,0,0,1
god aplikasi seneng bisa konsultasi kapan saja,netral,0,1,0
terima kasih halodoc dan dokter cory khathren sangat membantu sekali,positif,0,0,1
terima kasih dokter semoga dokter di indonesia sehat dan bahagia terus amin,positif,0,0,1
sudah berberapa kali buat janji temu dengan dokter tapi tidak dapat diproses,netral,0,1,0
bagus perlu ke klinik mudah gampang dokternya juga enak buat konsul,positif,0,0,1
penjelasan konsulnya detail terima kasih dokter,positif,0,0,1
sangat membantu untuk tidak panik karena bisa langsung tanya jawab dengan dokter yang ahli,netral,0,1,0
coba chat sama dokter hewan sudah bayar biaya konsul tapi chat tidak terhubung terus saya keluar ingin coba chat dokter lain kirain msih bisa pakai biaya yang ketarik tadi bahkan harus bayar lagi konsul enga kepotong biaya hadeuh,negatif,1,0,0
aplikasi bagus,netral,0,1,0
periksa kesehatan tidak perlu ribet antri cukup sambil tiduran di rumah dan obat langsung datang,negatif,1,0,0
dokternya respon dengan baik,positif,0,0,1
aplikasi sangat bermanfat dan membantu pasien,netral,0,1,0
kenapa saya kasih bintang karena baru pertama coba semoga selalu amanah halodoc sangat membantu sekali,positif,0,0,1
sangat jelek bayar buat konsul online tapi tidak dibales masalah belum kelar terlanjur habis waktunya,negatif,1,0,0
ini sudah bagus tapi sayang banget pengambilan obat jauh dari tempat tingal tidak bisa buat dadakan terus kasian driver apotek padahal ada yang dekat daerah sini tapi dapat jauh banget,negatif,1,0,0
sangat puas dengan halodoc bisa konsul dokter tanpa harus keluar rumah,netral,0,1,0
membantu sekali terima kasih banyak,positif,0,0,1
aplikasi yang sangat bagus,negatif,1,0,0
saya sudah melakukan pembayaran tapi status masih belum berubah masih terkonfirmasi chat bantuanya juga eror melulu heran,netral,0,1,0
aplikasi yang sangat membantu mudah menemukan dokter dan konsultasi kesehatan,positif,0,0,1
ini bagaimana minta bantuan pembatalan chat hilang sendiri riwayat pesanan tiba hilang di beranda tolong dong tidak tahu situasi yang mesan obat lagi bagaimana jangan dibuat mengantung begini,negatif,1,0,0
sangat membantu disat genting dan dekat sekali,positif,0,0,1
mantap pelayanan obat cepat respon,positif,0,0,1
bagus menangapi keluhan pasien,netral,0,1,0
sangat sangat membantu dokternya ramah,positif,0,0,1
pelayanan chat dokternya cepat respon dan ramah ramah,positif,0,0,1
sangat membantu trimakasih,positif,0,0,1
saya batalin apoinment sama dokter saya transaksi mengunakan card buset itu dana tidak balik sampai hari konfirmasi suruh tungu lagi astaga,netral,0,1,0
mudah dan bagus,positif,0,0,1
saran mungkin bisa ditambah walet lainya karena tidak semua orang mengunakan hanya walet yang tertera di aplikasinya,negatif,1,0,0
recomend buat yang takut ketmu dokter langsung dokternya ramah sekali,positif,0,0,1
untuk chat dengan dokter gampang dan memuaskan saran untuk pembayaran dengan kartu kredit debit mohon untuk bisa paste nomor kartunya,positif,0,0,1
rekomendasi untuk pemesan obat obatan,negatif,1,0,0
aku kira gratis setelah masuk dan chat denga dokter ternyata harus bayar padahal saya konsultasi sama dokternya untuk penyakit yang saya alami tapi tidak jadi karena harus bayar hadeh,negatif,1,0,0
cepat dan aman obat yang diantar,negatif,1,0,0
resep yang diberikan dokter obatnya tidak ada terkesan aplikasi berbicara sembarangan ke apotek yang tidak lengkap obatnya dan dokter hanya bisa sekali keluarin resep aplikasi not very god emergency oke,negatif,1,0,0
ini bagaimana estimasi obat sampai hari ini sudah hari tidak sampai sudah tidak kuat banget nahan sakitnya,negatif,1,0,0
dokter anthony surya wibawa konsultasi dengan pasien ok dan obat yang diberikan juga ok sampai ketemu lagi dokter terima kasih,positif,0,0,1
sangat memuaskan dokter sangat memberi respon yang baik,positif,0,0,1
mantap sekali mungkin beberapa fitur ada yang perlu ditingkatkan,positif,0,0,1
respon terlalu lama bikin kesel sudah bayar mahal tapi tidak bisa tangung jawab sama kerjan saya kecewa sekali,negatif,1,0,0
apk yang sangat membantu kalau sakit kambuh tengah malam terimakasih ini sangat memudahkan,positif,0,0,1
makin lama makin parah pakai kupon diskon gede langsung sengaja dibatalin sampai ini orang sakit terlanjur masuk rumah sakit kecewa berat,negatif,1,0,0
jawaban dan rekomendasi dokternya bagus,positif,0,0,1
aplikasi sangat berguna sekali,netral,0,1,0
cepat tepat akurat moga menambah ikhtiar lebih cepat amin,positif,0,0,1
saya ingin berikan saran kalau bisa untuk beli obat alat kesehatan tolong adain bisa bayar dan mengisi alamat bisa sendiri terus ongkirnya juga jangan kemahalan,negatif,1,0,0
aplikasi ini sangat membantu saya terima kasih,positif,0,0,1
makin kesini makin ribet beli obat tidak kayak dulu ini harus pakai resep dokter terus ketika di konfirm bahkan pesen obatnya dibatalkan bukanya aplikasi harusnya mempermudah yah ini bahkan semakin sulit dan ribet,negatif,1,0,0
layanan bagus juga cepat pesan obat datang,netral,0,1,0
puas dengan pelayanan driver cepat sampai dan obat bisa langsung gunakan di sat genting,positif,0,0,1
aplikasi ini cukup membantu,negatif,1,0,0
berapa kali sudah saya sampaikan melalui mail ataupun telepon kalau memang tidak siap jualan sudah tutup setiap dapat orderan selalu tidak ada barang selalu di cancel tanpa konfirmasi,positif,0,0,1
dokter di halodoc masya alah baik baik dan sangat membantu,positif,0,0,1
mohon maf untuk pemberian rating pada aplikasi ini saya tidak puas dengan kejelasan terkait pengiriman obat yang dipesan melalui aplikasi ini range waktu pengiriman obat sangat sangat sangat lama tidak langsung membantu untuk masalah yang ditanyakan dan masih butuh perbaikan untuk kejelasan status obat yang dipesan semoga jadi pembelajaran untuk tim halodoc kedepanya,negatif,1,0,0
so far sangat membantu untuk pertolongan pertama sebelum periksa ke rumah sakit terimakasih halodoc,positif,0,0,1
respon dokternya cepat daripada tatap muka lngsg msti nungu dokter datang dan datang seringnya terlambat hm,netral,0,1,0
dokternya gajelas padahal saya sudah jelaskan secara rinci percuma saja bayar mahal,netral,0,1,0
diberikan solusi dan saran yang baik,netral,0,1,0
berkah buat halodoc lancar selalu,positif,0,0,1
sangat membantu tetapi pengiriman sangat lambat di tulis setengah sampai sudah lebih tidak sampai sangat lambat kalau lagi keadan darurat tidak bisa nungu lama,netral,0,1,0
konsultasi ditangapi dengan cepat,positif,0,0,1
sangat bermanfat dan sangat membantu aplikasi halodoc ini terimakasih,positif,0,0,1
saya sangat puas dengan aplikasi ini bagus pelayananya dan dokter juga ramah sigap cocok buat pandemi sat ini,positif,0,0,1
penangananya cepat,netral,0,1,0
sangat membantu aplikasi yang luar biasa membantu,positif,0,0,1
bagus membantu sekali,positif,0,0,1
saya penguna setia halo doc tapi kali ini sunguh tidak puas dengan konsultasinya dokter hewanya terburu memberikan resep diminta tambahan obat bahkan suruh beli shope katanya tidak bisa merespkan lebih dari kali biasanya dokter lain selalu bertanya ada lagi yang ingin tanyakan kemudian merespkan ini buru sekali kemana ngomong-ngomong saya disuruh beli obat shope sedang apa ke halodoc kalau saya harus beli obat shope lama kecewa sumpah maaf yang tadiny bintang sekarg jadi bintang,negatif,1,0,0
pesanan obat tidak sampai setelah berjam dilakukan pemesanan pembayaran status pesanan dalam proses namun tidak ada kejelasan terkait pesanan karena sudah terlalu lama ingin membatalkan pesanan bahkan tidak ada pilihan untuk batalkan pesanan sat coba menghubungi driver yang tercantum ditugaskan untuk pesanan saya driver justru mengatakan sedang tidak mengambil pesanan halodoc bukan seberapa uang yang dikeluarkan tapi pelayanan halodoc sunguh sangat amat mengecewakan sekali,negatif,1,0,0
sudah bayar tapi dokter tidak jawab sampai habis masa waktu jadi hangus bayaranya,positif,0,0,1
sudah pakai aplikasi halodoc dan sangat membantu terima kasih halodoc,positif,0,0,1
puas dokternya ramah dan sangat membantu baik itu pelayananya dan beli obat melalui aplikasi,positif,0,0,1
aplikasi rusak tidak bisa discrol,negatif,1,0,0
sangat membantu serpon dokternya sangat baik,positif,0,0,1
respon sangat baik dan menolong,positif,0,0,1
aplikasi busuk dokter tidk hadir tapi saya tidak bisa batalkan pesanan untuk pengembalian dana fitur batal di aplikasinya tidak bisa diklik,negatif,1,0,0
keren banget obrolan dengan dokter yang kamu butuhkan di halodoc sangat cepat direspon terima kasih halodoc,netral,0,1,0
puas dengan layanan cepat mendapatkan obat,positif,0,0,1
sngat kecewa pertama asuransi di ac bisa di rawat di rumah sakit tba ada kendala bahkan di suruh bayar sendiri semua terus sedang apa di ac dari awal maka puluhan juta lagi,negatif,1,0,0
sangat amat terbantu dengan aplikasi ini,netral,0,1,0
kemarin pesen obat lama benar statusnya terkonfirmasi terus tidak berubah smp lewat dari estimasi waktu padahal obatnya butuh cepat akhirnya pesanan dibatalkan pesen ulang begitu lagi hm padahal dulu enk bngt pakai halodoc pesen obat cepat,negatif,1,0,0
